fund_id,fund_name,security_name,isin,number_of_shares,share_change,sector
INF846K01K35,INF846K01K35,L&T Finance Ltd,INE498L01015,6720084.0,0.0,Financial Services
INF846K01K35,INF846K01K35,Orient Electric Ltd Ordinary Shares,INE142Z01019,6742466.0,9774.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Mahanagar Gas Ltd,INE002S01010,1157462.0,0.0,Utilities
INF846K01K35,INF846K01K35,Carborundum Universal Ltd,INE120A01034,1560588.0,0.0,Industrials
INF846K01K35,INF846K01K35,Grindwell Norton Ltd,INE536A01023,895775.0,0.0,Industrials
INF846K01K35,INF846K01K35,GE Vernova T&D India Ltd,INE200A01026,500000.0,0.0,Industrials
INF846K01K35,INF846K01K35,BSE Ltd,INE118H01025,659598.0,-300000.0,Financial Services
INF846K01K35,INF846K01K35,Alembic Pharmaceuticals Ltd,INE901L01018,1455416.0,0.0,Healthcare
INF846K01K35,INF846K01K35,Welspun Corp Ltd,INE191B01025,1618639.0,0.0,Basic Materials
INF846K01K35,INF846K01K35,CIE Automotive India Ltd,INE536H01010,3505127.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Rolex Rings Ltd,INE645S01016,981290.0,0.0,Industrials
INF846K01K35,INF846K01K35,Premier Energies Ltd,INE0BS701011,1322455.0,0.0,Technology
INF846K01K35,INF846K01K35,Anant Raj Ltd,INE242C01024,2538132.0,0.0,Real Estate
INF846K01K35,INF846K01K35,Inventurus Knowledge Solutions Ltd,INE115Q01022,849601.0,0.0,Healthcare
INF846K01K35,INF846K01K35,Tech Mahindra Ltd,INE669C01036,868319.0,0.0,Technology
INF846K01K35,INF846K01K35,Union Bank of India,INE692A01016,10303338.0,0.0,Financial Services
INF846K01K35,INF846K01K35,Rainbow Childrens Medicare Ltd,INE961O01016,853305.0,389.0,Healthcare
INF846K01K35,INF846K01K35,TBO Tek Ltd,INE673O01025,978007.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Amber Enterprises India Ltd Ordinary Shares,INE371P01015,172996.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Sansera Engineering Ltd,INE953O01021,988365.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,UNO Minda Ltd,INE405E01023,976563.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Ellenbarrie Industrial Gases Ltd,INE236E01022,2344809.0,200000.0,Basic Materials
INF846K01K35,INF846K01K35,Tata Consumer Products Ltd,INE192A01025,1102866.0,0.0,Consumer Defensive
INF846K01K35,INF846K01K35,PNC Infratech Ltd,INE195J01029,3805180.0,0.0,Industrials
