,trend_score,appearances,current_shares,share_change,funds,funds_entered,funds_exited
Aditya Birla Lifestyle Brands Ltd,0.0,2,39967247.0,0.0,"INF204K01K15,INF966L01689",,
Welspun Corp Ltd,0.0,2,5938052.0,0.0,"INF846K01K35,INF966L01689",,
Prime Securities Ltd,0.0,1,1649942.0,0.0,INF966L01689,,
Anupam Rasayan India Ltd,-1.0,1,1079612.0,-35.04292017214999,INF966L01689,,
Alivus Life Sciences Ltd,0.0,2,2054981.0,0.0,"INF277K011O1,INF966L01689",,
India Shelter Finance Corporation Ltd,-1.0,2,3426863.0,-30.095837756510512,"INF846K01K35,INF966L01689",,
Jana Small Finance Bank Ltd,-1.0,1,1611528.0,-27.81276708588138,INF966L01689,,
Welspun Enterprises Ltd,0.0,1,6712318.0,0.0,INF966L01689,,
Indraprastha Medical Corp Ltd,0.0,1,2396081.0,0.0,INF966L01689,,
Siemens Energy India Ltd,1.0,1,363883.0,9.671692892857896,INF247L01BY3,INF247L01BY3,
Ncc Ltd 28/10/2025,1.0,1,1652400.0,0.0,INF966L01689,INF966L01689,
Sequent Scientific Ltd,0.0,1,22502050.0,0.0,INF966L01689,,
Just Dial Ltd,0.0,2,5394872.0,0.0,"INF204K01K15,INF966L01689",,
Laxmi Dental Ltd,-2.0,0,0.0,-100.0,,,"INF205K013T3,INF966L01689"
E I D Parry India Ltd,1.0,2,5147872.0,6.66834849188962,"INF917K01QA1,INF966L01689",INF917K01QA1,
Sanofi India Ltd,0.0,2,277903.0,0.0,"INF204K01K15,INF966L01689",,
Adani Power Ltd,1.0,1,60430545.0,434.5537259686299,INF966L01689,INF966L01689,
Delhivery Ltd,1.0,5,19414808.0,315.01801801801804,"INF204K01K15,INF205K013T3,INF846K01K35,INF917K01QA1,INF966L01689",INF917K01QA1,
Best Agrolife Ltd,0.0,1,500000.0,0.0,INF966L01689,,
Primo Chemicals Ltd Shs Dematerialised,0.0,1,4556962.0,0.0,INF966L01689,,
HP Adhesives Ltd,-1.0,0,0.0,-100.0,,,INF966L01689
TVS Srichakra Ltd,0.0,1,377551.0,0.0,INF966L01689,,
Balrampur Chini Mills Ltd,1.0,5,19669544.0,199.14963107530843,"INF204K01K15,INF277K011O1,INF846K01K35,INF917K01QA1,INF966L01689",INF277K011O1,
Taj GVK Hotels & Resorts Ltd,-1.0,0,0.0,-100.0,,,INF966L01689
Gujarat State Fertilizers & Chemicals Ltd,0.0,1,7662294.0,0.0,INF966L01689,,
Bikaji Foods International Ltd,0.0,3,11997990.0,111.38437521346589,"INF663L01W06,INF917K01QA1,INF966L01689",INF917K01QA1,
Mahindra Holidays & Resorts India Ltd,0.0,1,999412.0,0.0,INF966L01689,,
Bayer CropScience Ltd,0.0,2,1546292.0,0.0,"INF204K01K15,INF966L01689",,
Newgen Software Technologies Ltd,0.0,1,503579.0,0.0,INF966L01689,,
HFCL Ltd,0.0,1,75584924.0,0.0,INF966L01689,,
Anand Rathi Wealth Ltd,0.0,2,2974095.0,0.0,"INF205K013T3,INF966L01689",,
Life Insurance Corporation of India,0.0,1,735993.0,0.0,INF966L01689,,
Capacit'e Infraprojects Ltd,0.0,1,2026624.0,0.0,INF966L01689,,
Aeroflex Industries Ltd,0.0,1,2431354.0,0.0,INF204K01K15,,
PNC Infratech Ltd,0.0,4,22703383.0,0.0,"INF179KA1RZ8,INF204K01K15,INF846K01K35,INF917K01QA1",,
Tata Power Co Ltd,0.0,1,7707138.0,0.0,INF204K01K15,,
Sharda Motor Industries Ltd,1.0,4,2866404.0,100.0,"INF204K01K15,INF663L01W06,INF846K01K35,INF917K01QA1",INF917K01QA1,
Jtekt India,0.0,0,0.0,0.0,,,
Timken India Ltd,0.0,4,2757151.0,0.0,"INF179KA1RZ8,INF204K01K15,INF663L01W06,INF846K01K35",,
Sumitomo Chemical India Ltd Ordinary Shares,0.0,3,7754526.0,0.0,"INF204K01K15,INF663L01W06,INF917K01QA1",,
HDFC Bank Ltd,-1.0,2,16367560.0,-24.58476334706802,"INF204K01K15,INF846K01K35",,
Craftsman Automation Ltd,0.0,3,1061504.0,0.0,"INF204K01K15,INF205K013T3,INF846K01K35",,
Texmaco Rail & Engineering Ltd,0.0,1,11408783.0,0.0,INF204K01K15,,
Dixon Technologies (India) Ltd,-1.0,3,501555.0,-9.518823473418687,"INF204K01K15,INF663L01W06,INF917K01QA1",,
Union Bank of India,1.0,2,20605455.0,4.275886125447889,"INF204K01K15,INF846K01K35",INF846K01K35,
Godrej Agrovet Ltd Ordinary Shares,-1.0,1,3326386.0,-100.0,INF204K01K15,,INF247L01BY3
PVR INOX Ltd,0.0,2,6066630.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Rolex Rings Ltd,0.0,4,1693046.0,0.0,"INF204K01K15,INF205K013T3,INF846K01K35,INF917K01QA1",,
Bajel Projects Ltd,0.0,2,8697903.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Lemon Tree Hotels Ltd,1.0,2,29457185.0,45.138436251811534,"INF204K01K15,INF917K01QA1",INF917K01QA1,
Hindustan Aeronautics Ltd Ordinary Shares,0.0,1,862972.0,0.0,INF204K01K15,,
G R Infraprojects Ltd,0.0,2,2688165.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Esab India Ltd,0.0,1,326882.0,0.0,INF204K01K15,,
Astra Microwave Products Ltd,0.0,1,2200000.0,0.0,INF204K01K15,,
Divgi TorqTransfer Systems Ltd,0.0,1,1152910.0,0.0,INF204K01K15,,
Navin Fluorine International Ltd,0.0,3,1160371.0,0.0,"INF204K01K15,INF663L01W06,INF846K01K35",,
Whirlpool of India Ltd,0.0,2,5635445.0,0.0,"INF204K01K15,INF846K01K35",,
ITC Ltd,0.0,1,10000000.0,0.0,INF204K01K15,,
City Union Bank Ltd,0.0,3,49755509.0,0.0,"INF179KA1RZ8,INF204K01K15,INF846K01K35",,
RITES Ltd Ordinary Shares,0.0,1,9200000.0,0.0,INF204K01K15,,
Styrenix Performance Materials Ltd,1.0,2,1541191.0,10.661643818933916,"INF204K01K15,INF247L01BY3",INF247L01BY3,
L.G.Balakrishnan & Bros Ltd,0.0,2,3727419.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Seamec Ltd,-1.0,1,911479.0,-100.0,INF204K01K15,,INF205K013T3
Max Estates Ltd,0.0,2,3160289.0,0.0,"INF204K01K15,INF205K013T3",,
Pokarna Ltd,0.0,1,689983.0,0.0,INF204K01K15,,
H.G. Infra Engineering Ltd Ordinary Shares,-1.0,2,3279580.0,-27.102603446658545,"INF204K01K15,INF917K01QA1",,
ISGEC Heavy Engineering Ltd,0.0,1,4185591.0,0.0,INF204K01K15,,
Linde India Ltd,0.0,1,400000.0,0.0,INF204K01K15,,
Ion Exchange (India) Ltd,0.0,2,10967096.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Century Plyboards (India) Ltd,0.0,2,4263690.0,0.0,"INF204K01K15,INF917K01QA1",,
CIE Automotive India Ltd,0.0,4,21282713.0,0.0,"INF179KA1RZ8,INF204K01K15,INF277K011O1,INF846K01K35",,
CreditAccess Grameen Ltd Ordinary Shares,0.0,4,3605908.0,0.0,"INF204K01K15,INF205K013T3,INF663L01W06,INF846K01K35",,
InterGlobe Aviation Ltd,0.0,1,406892.0,0.0,INF205K013T3,,
Finolex Cables Ltd,0.0,3,5722851.0,0.0,"INF204K01K15,INF277K011O1,INF917K01QA1",,
NIIT Ltd,0.0,1,11111066.0,0.0,INF204K01K15,,
Infosys Ltd,0.0,0,0.0,0.0,,,
HDB Financial Services Ltd,1.0,2,5644577.0,0.0,"INF204K01K15,INF917K01QA1",INF917K01QA1,
3M India Ltd,0.0,1,18138.0,0.0,INF204K01K15,,
AAVAS Financiers Ltd,0.0,1,1113911.0,0.0,INF204K01K15,,
Netweb Technologies India Ltd,0.0,1,125776.0,0.0,INF204K01K15,,
Protean eGov Technologies Ltd,0.0,1,902883.0,0.0,INF204K01K15,,
Mishra Dhatu Nigam Ltd Ordinary Shares,0.0,1,2589175.0,0.0,INF204K01K15,,
Asahi India Glass Ltd,1.0,2,3922640.0,0.0,"INF204K01K15,INF247L01BY3",INF247L01BY3,
Chambal Fertilisers & Chemicals Ltd,0.0,2,12635735.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Indian Hotels Co Ltd,0.0,1,3574222.0,0.0,INF204K01K15,,
Amber Enterprises India Ltd Ordinary Shares,0.0,4,684009.0,-15.033498250678107,"INF204K01K15,INF205K013T3,INF846K01K35,INF917K01QA1",INF205K013T3,
L&T Finance Ltd,0.0,2,14165450.0,0.0,"INF205K013T3,INF846K01K35",,
HCL Technologies Ltd,0.0,1,1000000.0,0.0,INF204K01K15,,
ICRA Ltd,0.0,1,562085.0,0.0,INF204K01K15,,
Rategain Travel Technologies Ltd,0.0,2,7405033.0,0.0,"INF204K01K15,INF846K01K35",,
FSN E-Commerce Ventures Ltd,0.0,1,6994008.0,0.0,INF204K01K15,,
Karur Vysya Bank Ltd,2.0,6,85120273.0,26.16244948880003,"INF204K01K15,INF205K013T3,INF247L01BY3,INF663L01W06,INF846K01K35,INF917K01QA1","INF247L01BY3,INF917K01QA1",
Bajaj Electricals Ltd,0.0,2,9736446.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Equitas Small Finance Bank Ltd Ordinary Shares,0.0,2,79516515.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Sundaram Fasteners Ltd,0.0,1,5025211.0,0.0,INF204K01K15,,
Grindwell Norton Ltd,-1.0,3,2769508.0,-22.103796074497495,"INF204K01K15,INF846K01K35,INF917K01QA1",,
Kajaria Ceramics Ltd,1.0,2,4277313.0,22.466317116877946,"INF204K01K15,INF917K01QA1",INF917K01QA1,
Ambuja Cements Ltd,0.0,1,3250000.0,0.0,INF204K01K15,,
Raymond Ltd,0.0,1,1238343.0,0.0,INF204K01K15,,
Campus Activewear Ltd,1.0,2,9595541.0,8.03116708150672,"INF204K01K15,INF247L01BY3",INF247L01BY3,
UTI Asset Management Co Ltd,0.0,2,3181766.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Sheela Foam Ltd,0.0,1,761096.0,0.0,INF204K01K15,,
Venus Pipes & Tubes Ltd,0.0,1,600000.0,0.0,INF204K01K15,,
Kaynes Technology India Ltd,0.0,6,2022999.0,23.424534161490683,"INF204K01K15,INF205K013T3,INF247L01BY3,INF663L01W06,INF846K01K35,INF917K01QA1",INF917K01QA1,
Fineotex Chemical Ltd,0.0,1,3395805.0,0.0,INF204K01K15,,
R K Swamy Ltd,0.0,1,1998669.0,0.0,INF204K01K15,,
Deepak Nitrite Ltd,0.0,1,1090010.0,0.0,INF204K01K15,,
Sanofi Consumer Healthcare India Ltd,0.0,1,232875.0,0.0,INF204K01K15,,
Sudarshan Chemical Industries Ltd,0.0,4,13487297.0,0.0,"INF179KA1RZ8,INF204K01K15,INF277K011O1,INF846K01K35",,
Kalpataru Projects International Ltd,0.0,3,10033372.0,0.0,"INF179KA1RZ8,INF204K01K15,INF846K01K35",,
Praj Industries Ltd,0.0,1,5051724.0,0.0,INF204K01K15,,
Bharat Heavy Electricals Ltd,0.0,1,27500000.0,0.0,INF204K01K15,,
Sandhar Technologies Ltd Ordinary Shares,0.0,1,2555446.0,0.0,INF204K01K15,,
Tube Investments of India Ltd Ordinary Shares,-1.0,2,2843271.0,-35.57725976455344,"INF204K01K15,INF917K01QA1",,
Voltamp Transformers Ltd,0.0,2,1027476.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Gujarat Fluorochemicals Ltd Ordinary Shares,1.0,2,1063252.0,114.39834101552758,"INF204K01K15,INF846K01K35",INF846K01K35,
Narayana Hrudayalaya Ltd,-1.0,2,2920122.0,-19.9233822059165,"INF204K01K15,INF846K01K35",,
JNK India Ltd,0.0,0,0.0,0.0,,,
Procter & Gamble Health Ltd,0.0,1,692659.0,0.0,INF204K01K15,,
National Securities Depository Ltd,0.0,1,550139.0,0.0,INF204K01K15,,
KPIT Technologies Ltd,1.0,2,2200519.0,9.113374269881684,"INF204K01K15,INF917K01QA1",INF917K01QA1,
Bajaj Consumer Care Ltd,0.0,2,18526367.0,0.0,"INF179KA1RZ8,INF204K01K15",,
AstraZeneca Pharma India Ltd,0.0,1,658075.0,0.0,INF204K01K15,,
ACME Solar Holdings Ltd,1.0,2,11011195.0,20.039563936500937,"INF204K01K15,INF277K011O1",INF277K011O1,
Credo Brands Marketing Ltd,0.0,1,1049435.0,0.0,INF204K01K15,,
Cyient DLM Ltd,0.0,1,1256139.0,0.0,INF204K01K15,,
Schaeffler India Ltd,0.0,1,484271.0,0.0,INF204K01K15,,
Honda India Power Products Ltd,0.0,2,1415736.0,0.0,"INF204K01K15,INF277K011O1",,
HDFC Life Insurance Co Ltd,0.0,1,5739968.0,0.0,INF204K01K15,,
JTEKT India Ltd,0.0,1,21133584.0,0.0,INF204K01K15,,
Harsha Engineers International Ltd,0.0,1,4136864.0,0.0,INF204K01K15,,
VST Tillers Tractors Ltd,0.0,1,543691.0,0.0,INF204K01K15,,
Syngene International Ltd,0.0,1,3473206.0,0.0,INF204K01K15,,
MTAR Technologies Ltd,0.0,2,998519.0,-100.0,"INF204K01K15,INF663L01W06",INF663L01W06,INF846K01K35
ELANTAS Beck India Ltd,0.0,2,860502.0,0.0,"INF204K01K15,INF277K011O1",,
Belrise Industries Ltd,0.0,1,10728130.0,0.0,INF204K01K15,,
Brigade Enterprises Ltd,-1.0,5,11728134.0,-14.679928101343956,"INF204K01K15,INF205K013T3,INF663L01W06,INF846K01K35,INF917K01QA1",,
Ajanta Pharma Ltd,0.0,1,1674471.0,0.0,INF204K01K15,,
Ceigall India Ltd,0.0,1,550950.0,0.0,INF204K01K15,,
Galaxy Surfactants Ltd,0.0,2,2718461.0,0.0,"INF204K01K15,INF846K01K35",,
Raymond Lifestyle Ltd,0.0,1,990674.0,0.0,INF204K01K15,,
Tejas Networks Ltd,0.0,1,5763697.0,0.0,INF204K01K15,,
TTK Prestige Ltd,0.0,1,3430809.0,0.0,INF204K01K15,,
Astec Lifesciences Ltd,0.0,1,526867.0,0.0,INF204K01K15,,
Rainbow Childrens Medicare Ltd,0.0,4,2820089.0,-26.33334654459461,"INF204K01K15,INF247L01BY3,INF663L01W06,INF846K01K35",INF247L01BY3,
TD Power Systems Ltd,0.0,1,10278244.0,0.0,INF204K01K15,,
Persistent Systems Ltd,-1.0,3,930138.0,-36.26335493256635,"INF204K01K15,INF846K01K35,INF917K01QA1",,
Vishal Mega Mart Ltd,-1.0,4,51676814.0,-20.43423221267055,"INF179KA1RZ8,INF204K01K15,INF205K013T3,INF663L01W06",,
Paradeep Phosphates Ltd,0.0,1,38089109.0,0.0,INF204K01K15,,
Gokaldas Exports Ltd,-1.0,5,11976032.0,52.409384585836094,"INF204K01K15,INF247L01BY3,INF277K011O1,INF846K01K35,INF917K01QA1",INF846K01K35,
Voltas Ltd,0.0,1,2496994.0,0.0,INF204K01K15,,
Sundaram Finance Holdings Ltd,0.0,1,8418075.0,0.0,INF204K01K15,,
Premier Energies Ltd,0.0,3,2874575.0,0.0,"INF204K01K15,INF247L01BY3,INF846K01K35",,
Raymond Realty Ltd,0.0,1,1238343.0,0.0,INF204K01K15,,
Tata Consumer Products Ltd,0.0,2,4761552.0,0.0,"INF204K01K15,INF846K01K35",,
eMudhra Ltd,0.0,1,5083786.0,0.0,INF204K01K15,,
Zensar Technologies Ltd,0.0,3,9008581.0,0.0,"INF179KA1RZ8,INF204K01K15,INF205K013T3",,
LMW Ltd,-1.0,1,84041.0,-100.0,INF204K01K15,,INF917K01QA1
Carborundum Universal Ltd,0.0,6,9583809.0,0.0,"INF179KA1RZ8,INF204K01K15,INF205K013T3,INF277K011O1,INF846K01K35,INF917K01QA1",,
Subros Ltd,0.0,1,968256.0,0.0,INF204K01K15,,
Sonata Software Ltd,-1.0,4,26769740.0,-87.32571631541558,"INF179KA1RZ8,INF204K01K15,INF205K013T3,INF917K01QA1",,
Asian Paints Ltd,0.0,1,2303100.0,0.0,INF204K01K15,,
MAS Financial Services Ltd Ordinary Shares,0.0,1,13938609.0,0.0,INF204K01K15,,
Coal India Ltd,0.0,1,8056743.0,0.0,INF204K01K15,,
West Coast Paper Mills Ltd,0.0,1,3359187.0,0.0,INF204K01K15,,
Avalon Technologies Ltd,0.0,2,5807487.0,0.0,"INF204K01K15,INF846K01K35",,
Blue Dart Express Ltd,0.0,2,821023.0,0.0,"INF179KA1RZ8,INF204K01K15",,
Fine Organic Industries Ltd Ordinary Shares,0.0,2,1418573.0,0.0,"INF204K01K15,INF846K01K35",,
LIC Housing Finance Ltd,0.0,1,2678310.0,0.0,INF204K01K15,,
Birla Corp Ltd,0.0,2,2959132.0,0.0,"INF204K01K15,INF205K013T3",,
Go Fashion (India) Ltd,0.0,1,1223364.0,0.0,INF204K01K15,,
Indigo Paints Ltd Ordinary Shares,0.0,2,4668906.0,0.0,"INF179KA1RZ8,INF204K01K15",,
CARE Ratings Ltd,1.0,2,1524098.0,0.0,"INF204K01K15,INF917K01QA1",INF917K01QA1,
Bharat Dynamics Ltd Ordinary Shares,1.0,3,3296249.0,30.364143054540126,"INF204K01K15,INF247L01BY3,INF846K01K35",INF247L01BY3,
Hindustan Unilever Ltd,0.0,1,1835009.0,0.0,INF204K01K15,,
Vindhya Telelinks Ltd,0.0,1,975698.0,0.0,INF204K01K15,,
Bluestone Jewellery And Lifestyle Ltd,0.0,2,5525270.0,0.0,"INF204K01K15,INF663L01W06",,
Schloss Bangalore Ltd,-1.0,1,3688067.0,-100.0,INF204K01K15,,INF205K013T3
Automotive Axles Ltd,0.0,2,903322.0,0.0,"INF204K01K15,INF277K011O1",,
Hitachi Energy India Ltd Ordinary Shares,-1.0,1,144150.0,-100.0,INF204K01K15,,INF247L01BY3
Greenlam Industries Ltd,0.0,2,7977918.0,0.0,"INF179KA1RZ8,INF204K01K15",,
NIIT Learning Systems Ltd,0.0,1,12204308.0,0.0,INF204K01K15,,
Vesuvius India Ltd,0.0,3,13717870.0,0.0,"INF179KA1RZ8,INF204K01K15,INF846K01K35",,
Honeywell Automation India Ltd,0.0,1,26553.0,0.0,INF204K01K15,,
Polyplex Corp Ltd,0.0,1,657517.0,0.0,INF204K01K15,,
Allied Blenders and Distillers Ltd,0.0,1,4937158.0,0.0,INF204K01K15,,
Wonderla Holidays Ltd,0.0,2,4925354.0,0.0,"INF204K01K15,INF277K011O1",,
Kirloskar Brothers Ltd,0.0,1,4472130.0,0.0,INF204K01K15,,
Dr. Lal PathLabs Ltd,0.0,1,645485.0,0.0,INF204K01K15,,
Data Patterns (India) Ltd,0.0,3,1303034.0,0.0,"INF204K01K15,INF663L01W06,INF846K01K35",,
Central Depository Services (India) Ltd,1.0,4,5023298.0,70.635727947178,"INF204K01K15,INF205K013T3,INF247L01BY3,INF846K01K35",INF247L01BY3,
Genus Power Infrastructures Ltd,0.0,1,9300000.0,0.0,INF204K01K15,,
KEI Industries Ltd,0.0,5,1978957.0,-14.814814814814813,"INF179KA1RZ8,INF247L01BY3,INF663L01W06,INF846K01K35,INF917K01QA1",INF247L01BY3,
Carraro India Ltd,-1.0,1,1587136.0,-100.0,INF917K01QA1,,INF247L01BY3
Thirumalai Chemicals Ltd,1.0,1,3068592.0,0.0,INF247L01BY3,INF247L01BY3,
Triveni Turbine Ltd,-1.0,3,3604224.0,-28.426415190430294,"INF205K013T3,INF247L01BY3,INF663L01W06",,
Gufic Biosciences Ltd,-1.0,0,0.0,-100.0,,,INF247L01BY3
V-Mart Retail Ltd,1.0,1,1654754.0,11.97884875397398,INF247L01BY3,INF247L01BY3,
Aditya Vision Ltd,2.0,3,12558243.0,0.0,"INF179KA1RZ8,INF247L01BY3,INF846K01K35","INF247L01BY3,INF846K01K35",
Cholamandalam Investment and Finance Co Ltd,1.0,1,443754.0,4.1026026002543015,INF247L01BY3,INF247L01BY3,
Sagility India Ltd,-1.0,0,0.0,-100.0,,,INF247L01BY3
CCL Products (India) Ltd,1.0,4,11727823.0,1.1178269849389082,"INF247L01BY3,INF663L01W06,INF846K01K35,INF917K01QA1",INF247L01BY3,
Rossari Biotech Ltd Ordinary Shares,-1.0,1,779574.0,-24.535202269053176,INF247L01BY3,,
Vijaya Diagnostic Centre Ltd,1.0,3,4762669.0,14.716912892040854,"INF247L01BY3,INF846K01K35,INF917K01QA1",INF247L01BY3,
Gabriel India Ltd,0.0,3,11966860.0,-15.66902015349372,"INF179KA1RZ8,INF247L01BY3,INF663L01W06",INF247L01BY3,
Transformers & Rectifiers (India) Ltd,1.0,1,2483963.0,9.34374726251386,INF247L01BY3,INF247L01BY3,
Bharat Electronics Ltd,0.0,0,0.0,0.0,,,
Aditya Birla Capital Ltd,1.0,1,56180.0,0.0,INF247L01BY3,INF247L01BY3,
Varroc Engineering Ltd Ordinary Shares,0.0,1,1586946.0,0.0,INF247L01BY3,,
Jain Resource Recycling Ltd,2.0,2,3574309.0,0.0,"INF247L01BY3,INF846K01K35","INF247L01BY3,INF846K01K35",
V2 Retail Ltd,1.0,1,663668.0,10.833924798971267,INF247L01BY3,INF247L01BY3,
Chalet Hotels Ltd,1.0,3,8216111.0,4.523424118654596,"INF179KA1RZ8,INF247L01BY3,INF846K01K35",INF247L01BY3,
V-Guard Industries Ltd,-1.0,0,0.0,-100.0,,,INF247L01BY3
VA Tech Wabag Ltd,1.0,2,1068010.0,13.440400988447573,"INF247L01BY3,INF846K01K35",INF247L01BY3,
Indus Towers Ltd Ordinary Shares,-1.0,0,0.0,-100.0,,,INF247L01BY3
Five-Star Business Finance Ltd,0.0,1,1813917.0,-100.0,INF247L01BY3,INF247L01BY3,INF205K013T3
Sky Gold and Diamonds Ltd,1.0,1,2926869.0,2.6298543165902784,INF247L01BY3,INF247L01BY3,
Pricol Ltd,1.0,1,2247279.0,1.5088934600614128,INF247L01BY3,INF247L01BY3,
Inox Wind Ltd - Rights,-1.0,0,0.0,-100.0,,,INF247L01BY3
Ola Electric Mobility Ltd,1.0,1,8209580.0,0.0,INF247L01BY3,INF247L01BY3,
Dr Agarwal’s Health Care Ltd,1.0,3,7645144.0,3.48568326069706,"INF205K013T3,INF247L01BY3,INF663L01W06",INF247L01BY3,
Thirumalai Chemicals Limited,1.0,1,547587.0,0.0,INF247L01BY3,INF247L01BY3,
Suzlon Energy Ltd,0.0,2,35464445.0,0.0,"INF247L01BY3,INF917K01QA1",,
Pitti Engineering Ltd,-1.0,0,0.0,-100.0,,,INF247L01BY3
TCPL Packaging Ltd,0.0,1,47201.0,0.0,INF179KA1RZ8,,
D B Corp Ltd,0.0,1,4922150.0,0.0,INF179KA1RZ8,,
SKF India Ltd,0.0,1,1108471.0,0.0,INF179KA1RZ8,,
Goodyear India Ltd,0.0,1,1053916.0,0.0,INF179KA1RZ8,,
Suprajit Engineering Ltd,0.0,2,12566881.0,0.0,"INF179KA1RZ8,INF846K01K35",,
Lumax Industries Ltd,0.0,1,416496.0,0.0,INF179KA1RZ8,,
Transport Corp of India Ltd,0.0,2,5422422.0,0.0,"INF179KA1RZ8,INF277K011O1",,
Pearl Global Industries Ltd,0.0,1,2468184.0,0.0,INF179KA1RZ8,,
Indian Bank,0.0,1,9688128.0,0.0,INF179KA1RZ8,,
The Anup Engineering Ltd,0.0,1,1221503.0,0.0,INF179KA1RZ8,,
T.V. Today Network Ltd,0.0,1,4832024.0,0.0,INF179KA1RZ8,,
TCI Express Ltd,0.0,1,1140052.0,0.0,INF179KA1RZ8,,
BEML Ltd,0.0,2,508231.0,0.0,"INF179KA1RZ8,INF205K013T3",,
Aadhar Housing Finance Ltd,1.0,2,5855001.0,88.65840163865504,"INF179KA1RZ8,INF846K01K35",INF846K01K35,
Gujarat Pipavav Port Ltd,0.0,2,19659605.0,0.0,"INF179KA1RZ8,INF277K011O1",,
Redtape Ltd,0.0,1,22396179.0,0.0,INF179KA1RZ8,,
Redington Ltd,0.0,2,20032549.0,0.0,"INF179KA1RZ8,INF277K011O1",,
Akzo Nobel India Ltd,0.0,3,540846.0,0.0,"INF179KA1RZ8,INF277K011O1,INF663L01W06",,
Jagran Prakashan Ltd,0.0,1,2348332.0,0.0,INF179KA1RZ8,,
Dodla Dairy Ltd,0.0,1,2075310.0,0.0,INF179KA1RZ8,,
Delta Corp Ltd,0.0,1,3000000.0,0.0,INF179KA1RZ8,,
Gateway Distriparks Ltd,0.0,1,33756481.0,0.0,INF179KA1RZ8,,
Tata Steel Ltd,0.0,1,15443425.0,0.0,INF179KA1RZ8,,
Sharda Cropchem Ltd,0.0,1,5406610.0,0.0,INF179KA1RZ8,,
Awfis Space Solutions Ltd,0.0,3,6494709.0,0.0,"INF179KA1RZ8,INF205K013T3,INF663L01W06",,
Home First Finance Co India Ltd ---,0.0,3,5615314.0,0.0,"INF179KA1RZ8,INF205K013T3,INF663L01W06",,
NRB Bearings Ltd,0.0,1,8748982.0,0.0,INF179KA1RZ8,,
La Opala RG Ltd,0.0,1,9444822.0,0.0,INF179KA1RZ8,,
The Federal Bank Ltd,-1.0,3,37452319.0,-25.757848687596503,"INF179KA1RZ8,INF205K013T3,INF917K01QA1",,
Fortis Healthcare Ltd,-1.0,2,10719076.0,-23.60158676466066,"INF179KA1RZ8,INF846K01K35",,
FIEM Industries Ltd,0.0,1,1447367.0,0.0,INF179KA1RZ8,,
Firstsource Solutions Ltd,0.0,3,61225554.0,0.0,"INF179KA1RZ8,INF846K01K35,INF917K01QA1",,
Shoppers Stop Ltd,0.0,2,10283645.0,0.0,"INF179KA1RZ8,INF277K011O1",,
Insecticides (India) Ltd,0.0,1,2636351.0,0.0,INF179KA1RZ8,,
Unichem Laboratories Ltd,0.0,1,5458645.0,0.0,INF179KA1RZ8,,
IFGL Refractories Ltd,0.0,1,6549367.0,0.0,INF179KA1RZ8,,
JK Cement Ltd,0.0,1,41960.0,0.0,INF663L01W06,,
International Gemmological Institute (India) Ltd,0.0,1,684863.0,0.0,INF663L01W06,,
Gillette India Ltd,0.0,1,23422.0,0.0,INF663L01W06,,
Urban Co Ltd,1.0,1,789235.0,0.0,INF663L01W06,INF663L01W06,
Blue Jet Healthcare Ltd,1.0,1,118519.0,0.0,INF663L01W06,INF663L01W06,
Solar Industries India Ltd,0.0,1,32376.0,0.0,INF663L01W06,,
360 One Wam Ltd Ordinary Shares,0.0,2,1429551.0,0.0,"INF205K013T3,INF663L01W06",,
Ratnamani Metals & Tubes Ltd,0.0,3,1073990.0,0.0,"INF205K013T3,INF663L01W06,INF917K01QA1",,
Tega Industries Ltd,0.0,2,225043.0,-39.777563862878786,"INF277K011O1,INF663L01W06",INF277K011O1,
Metro Brands Ltd,0.0,0,0.0,0.0,,,
Global Health Ltd,-1.0,2,1754178.0,-20.173658199160833,"INF205K013T3,INF663L01W06",,
Technocraft Industries (India) Ltd,-1.0,1,1310.0,-93.94359685621822,INF663L01W06,,
Shivalik Bimetal Controls Ltd,0.0,1,168306.0,0.0,INF663L01W06,,
Eternal Ltd,2.0,2,4177918.0,197.2483538117173,"INF205K013T3,INF663L01W06","INF205K013T3,INF663L01W06",
Le Travenues Technology Ltd,0.0,1,894257.0,0.0,INF663L01W06,,
Ather Energy Ltd,0.0,2,3029574.0,0.0,"INF205K013T3,INF663L01W06",,
Max Financial Services Ltd,0.0,1,110000.0,0.0,INF663L01W06,,
Hexaware Technologies Ltd Ordinary Shares,0.0,2,1444298.0,0.0,"INF205K013T3,INF663L01W06",,
Schneider Electric Infrastructure Ltd,0.0,1,209802.0,0.0,INF663L01W06,,
Mrs Bectors Food Specialities Ltd Ordinary Shares,0.0,3,3060155.0,0.0,"INF205K013T3,INF663L01W06,INF846K01K35",,
Ganesha Ecosphere Ltd,0.0,2,681479.0,0.0,"INF277K011O1,INF663L01W06",,
