,trend_score,appearances,current_shares,share_change,funds,funds_entered,funds_exited
Jindal Saw Ltd,1.0,3,13917528.0,14.2745325541137,"INF194KB1AL4,INF204K01K15,INF917K01QA1",INF917K01QA1,
Sobha Ltd,1.0,2,5163570.0,22.756629256428983,"INF194KB1AL4,INF917K01QA1",INF917K01QA1,
CESC Ltd,0.0,2,14071922.0,0.0,"INF194KB1AL4,INF204K01K15",,
Aditya Infotech,0.0,0,0.0,0.0,,,
NLC India Ltd,0.0,2,29012362.0,0.0,"INF194KB1AL4,INF204K01K15",,
Bombay Burmah Trading Corp Ltd,0.0,1,196754.0,0.0,INF194KB1AL4,,
Orchid Pharma Ltd,0.0,3,4176082.0,0.0,"INF194KB1AL4,INF205K013T3,INF966L01689",,
Rashi Peripherals Ltd,0.0,1,3847091.0,0.0,INF194KB1AL4,,
NTPC Green Energy Ltd,0.0,2,22935479.0,0.0,"INF194KB1AL4,INF204K01K15",,
Artemis Medicare Services Ltd Ordinary Shares,0.0,1,566503.0,0.0,INF194KB1AL4,,
Ellenbarrie Industrial Gases Ltd,0.0,2,2700381.0,0.0,"INF194KB1AL4,INF846K01K35",,
All Time Plastics Ltd,0.0,1,508734.0,0.0,INF194KB1AL4,,
Godavari Biorefineries Ltd,0.0,1,351261.0,0.0,INF194KB1AL4,,
M&B Engnrg Lt,0.0,0,0.0,0.0,,,
Wockhardt Ltd,0.0,4,4566238.0,0.0,"INF194KB1AL4,INF205K013T3,INF277K011O1,INF917K01QA1",,
Karnataka Bank Ltd,0.0,2,24320044.0,0.0,"INF194KB1AL4,INF966L01689",,
OneSource Specialty Pharma Ltd,-1.0,3,1686520.0,-63.10250579628283,"INF194KB1AL4,INF846K01K35,INF966L01689",,
Blackbuck Ltd,0.0,2,523210.0,0.0,"INF194KB1AL4,INF663L01W06",,
TBO Tek Ltd,0.0,3,4542162.0,0.0,"INF194KB1AL4,INF204K01K15,INF846K01K35",,
Exide Industries Ltd,-1.0,1,572070.0,-100.0,INF194KB1AL4,,INF917K01QA1
REC Ltd,0.0,1,8571745.0,0.0,INF194KB1AL4,,
Godawari Power & Ispat Ltd,0.0,1,4936390.0,0.0,INF194KB1AL4,,
Vedanta Ltd,0.0,2,10757146.0,0.0,"INF194KB1AL4,INF204K01K15",,
Piramal Pharma Ltd,0.0,1,6732899.0,0.0,INF194KB1AL4,,
Brigade Hotel Ventures Ltd,0.0,1,2040152.0,0.0,INF194KB1AL4,,
Grasim Industries Ltd,0.0,1,180598.0,0.0,INF194KB1AL4,,
Aurobindo Pharma Ltd,0.0,1,650429.0,0.0,INF194KB1AL4,,
M & B Engineering Ltd,0.0,1,324672.0,0.0,INF194KB1AL4,,
Dam Capital Advisors Ltd,0.0,1,172927.0,0.0,INF194KB1AL4,,
Cyient Ltd,0.0,2,3810730.0,0.0,"INF194KB1AL4,INF204K01K15",,
S H Kelkar & Co Ltd,0.0,1,3784902.0,0.0,INF194KB1AL4,,
LT Foods Ltd,0.0,1,7116049.0,0.0,INF194KB1AL4,,
Yatharth Hospital and Trauma Care Services Ltd,0.0,1,2899501.0,0.0,INF194KB1AL4,,
Zee Entertainment Enterprises Ltd,0.0,1,2143930.0,0.0,INF194KB1AL4,,
Emcure Pharmaceuticals Ltd,0.0,1,262129.0,0.0,INF194KB1AL4,,
Fedbank Financial Services Ltd,0.0,1,7629916.0,0.0,INF194KB1AL4,,
Strides Pharma Science Ltd,0.0,3,5068120.0,0.0,"INF194KB1AL4,INF846K01K35,INF966L01689",,
GPT Healthcare Ltd,0.0,1,1330938.0,0.0,INF194KB1AL4,,
Aditya Infotech Ltd,1.0,4,2020347.0,37.2010827324666,"INF194KB1AL4,INF204K01K15,INF205K013T3,INF846K01K35",INF205K013T3,
Sagility Ltd,2.0,4,49736363.0,134.53373298820947,"INF194KB1AL4,INF247L01BY3,INF663L01W06,INF846K01K35","INF247L01BY3,INF846K01K35",
The South Indian Bank Ltd,0.0,1,107453809.0,0.0,INF194KB1AL4,,
Radico Khaitan Ltd,-1.0,5,3981719.0,-100.0,"INF194KB1AL4,INF204K01K15,INF663L01W06,INF846K01K35,INF917K01QA1",,INF277K011O1
Eureka Forbes Ltd,-1.0,3,2185716.0,-15.800305238349283,"INF194KB1AL4,INF277K011O1,INF663L01W06",,
Info Edge (India) Ltd,0.0,1,1750000.0,0.0,INF194KB1AL4,,
Rishabh Instruments Ltd,0.0,3,3421720.0,0.0,"INF194KB1AL4,INF204K01K15,INF966L01689",,
Akums Drugs and Pharmaceuticals Ltd,0.0,1,1481958.0,0.0,INF194KB1AL4,,
Hi-Tech Pipes Ltd,0.0,2,9459894.0,0.0,"INF194KB1AL4,INF917K01QA1",,
Power Finance Corp Ltd,0.0,1,4286755.0,0.0,INF194KB1AL4,,
Arvind SmartSpaces Ltd,0.0,1,969286.0,0.0,INF194KB1AL4,,
KEC International Ltd,1.0,5,10270192.0,20.624875844406724,"INF179KA1RZ8,INF194KB1AL4,INF204K01K15,INF247L01BY3,INF917K01QA1",INF247L01BY3,
Archean Chemical Industries Ltd,0.0,2,2075406.0,0.0,"INF194KB1AL4,INF204K01K15",,
TARC Ltd Ordinary Shares,0.0,1,9823774.0,0.0,INF194KB1AL4,,
Krishna Institute of Medical Sciences Ltd,0.0,6,32709659.0,0.0,"INF179KA1RZ8,INF194KB1AL4,INF204K01K15,INF205K013T3,INF663L01W06,INF846K01K35",,
Jupiter Wagons Ltd,0.0,1,2300773.0,0.0,INF194KB1AL4,,
Cholamandalam Financial Holdings Ltd,1.0,6,6865104.0,3.161787891528274,"INF194KB1AL4,INF205K013T3,INF247L01BY3,INF663L01W06,INF846K01K35,INF917K01QA1",INF247L01BY3,
Edelweiss Financial Services Ltd,0.0,1,2645318.0,0.0,INF194KB1AL4,,
Pondy Oxides And Chemicals Ltd,0.0,1,287142.0,0.0,INF194KB1AL4,,
Nuvama Wealth Management Ltd,0.0,1,90337.0,0.0,INF194KB1AL4,,
Mastek Ltd,0.0,1,193834.0,0.0,INF194KB1AL4,,
Kewal Kiran Clothing Ltd,0.0,1,1431274.0,0.0,INF194KB1AL4,,
JK Lakshmi Cement Ltd,0.0,5,8836773.0,0.0,"INF194KB1AL4,INF204K01K15,INF205K013T3,INF663L01W06,INF846K01K35",,
Marksans Pharma Ltd,0.0,1,3260509.0,0.0,INF194KB1AL4,,
Inox Wind Ltd,-1.0,2,39357339.0,-100.0,"INF194KB1AL4,INF204K01K15",,INF247L01BY3
