,trend_score,appearances,current_shares,share_change,has_changes
Ratnamani Metals & Tubes Ltd,0.0,1,842458.0,0.0,
Finolex Industries Ltd,0.0,1,5984579.0,0.0,
CARE Ratings Ltd,1.0,1,47276.0,0.0,True
Balrampur Chini Mills Ltd,0.0,1,3164500.0,0.0,
Aditya Birla Real Estate Ltd,-1.0,1,1276862.0,-19.974755166479273,True
Bikaji Foods International Ltd,1.0,1,2537513.0,111.38437521346589,True
ZF Commercial Vehicle Control Systems India Ltd,1.0,1,32223.0,0.0,True
eClerx Services Ltd,1.0,1,668511.0,23.053857495485644,True
Mahindra Lifespace Developers Ltd,0.0,0,0.0,0.0,
NIIT Learning Systems Ltd,0.0,0,0.0,0.0,
PG Electroplast Ltd,1.0,1,2309000.0,32.74692422674485,True
Ipca Laboratories Ltd,0.0,1,606800.0,0.0,
KFin Technologies Ltd,-1.0,1,2281510.0,-6.100498161117093,True
