,trend_score,appearances,current_shares,share_change,has_changes
Jubilant Ingrevia Ltd Ordinary Shares,0.0,1,2578209.0,0.0,
Premier Energies Ltd,0.0,1,1322455.0,0.0,
Tata Consumer Products Ltd,0.0,1,1102866.0,0.0,
Carborundum Universal Ltd,0.0,1,1560588.0,0.0,
Delhivery Ltd,0.0,1,1495630.0,0.0,
Apar Industries Ltd,0.0,1,194983.0,0.0,
MAS Financial Services Ltd Ordinary Shares,0.0,0,0.0,0.0,
Blue Star Ltd,0.0,1,2603151.0,0.0,
Happy Forgings Ltd,0.0,1,275287.0,0.0,
Jyothy Labs Ltd,0.0,1,2803873.0,0.0,
Avalon Technologies Ltd,0.0,1,2018325.0,0.0,
Electronics Mart India Ltd,0.0,1,2021000.0,0.0,
SJS Enterprises Ltd,0.0,1,1377351.0,0.0,
L&T Technology Services Ltd,-1.0,1,0.0,-100.0,True
Fine Organic Industries Ltd Ordinary Shares,0.0,1,633550.0,0.0,
Syrma SGS Technology Ltd,0.0,1,2484070.0,0.0,
Balrampur Chini Mills Ltd,0.0,1,2041015.0,0.0,
Birlasoft Ltd,0.0,1,2663979.0,0.0,
Bharat Dynamics Ltd Ordinary Shares,0.0,1,1040464.0,0.0,
Sansera Engineering Ltd,1.0,1,988450.0,0.008600061718089977,True
Aditya Birla Real Estate Ltd,0.0,1,231613.0,0.0,
Orient Electric Ltd Ordinary Shares,0.0,1,6742466.0,0.0,
Laurus Labs Ltd,0.0,1,2117487.0,0.0,
Aarti Industries Ltd,0.0,1,785001.0,0.0,
Affle 3i Ltd,0.0,1,1214969.0,0.0,
Arvind Fashions Ltd,0.0,1,2914727.0,0.0,
Hindalco Industries Ltd,0.0,1,1430102.0,0.0,
Mahanagar Gas Ltd,0.0,1,1157462.0,0.0,
HeidelbergCement India Ltd,0.0,1,5040690.0,0.0,
Mahindra Lifespace Developers Ltd,0.0,1,3229065.0,0.0,
CG Power & Industrial Solutions Ltd,0.0,1,859225.0,0.0,
DOMS Industries Ltd,1.0,1,890292.0,3.9985421616658607,True
Vesuvius India Ltd,0.0,1,6902100.0,0.0,
PG Electroplast Ltd,0.0,1,1241883.0,0.0,
Aptus Value Housing Finance India Ltd,0.0,1,5603959.0,0.0,
KFin Technologies Ltd,0.0,1,2412549.0,0.0,
Kirloskar Oil Engines Ltd,0.0,1,1722073.0,0.0,
Chemplast Sanmar Ltd,0.0,1,5799329.0,0.0,
Alembic Pharmaceuticals Ltd,0.0,1,1455416.0,0.0,
Can Fin Homes Ltd,0.0,1,4272355.0,0.0,
Data Patterns (India) Ltd,0.0,1,705963.0,0.0,
Central Depository Services (India) Ltd,0.0,1,1309794.0,0.0,
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,2984782.0,0.0,
