,trend_score,appearances,current_shares,share_change
Power Finance Corp Ltd,0.0,1,4286755.0,0.0
Arvind SmartSpaces Ltd,0.0,1,969286.0,0.0
KEC International Ltd,0.0,1,365043.0,0.0
Archean Chemical Industries Ltd,0.0,1,702033.0,0.0
TARC Ltd Ordinary Shares,0.0,1,9823774.0,0.0
Krishna Institute of Medical Sciences Ltd,0.0,1,298498.0,0.0
Jupiter Wagons Ltd,0.0,1,2300773.0,0.0
Cholamandalam Financial Holdings Ltd,0.0,1,1384592.0,0.0
Edelweiss Financial Services Ltd,0.0,1,2645318.0,0.0
Pondy Oxides And Chemicals Ltd,0.0,1,287142.0,0.0
Nuvama Wealth Management Ltd,0.0,1,90337.0,0.0
Mastek Ltd,0.0,1,193834.0,0.0
Kewal Kiran Clothing Ltd,0.0,1,1431274.0,0.0
JK Lakshmi Cement Ltd,0.0,1,291141.0,0.0
Marksans Pharma Ltd,0.0,1,3260509.0,0.0
Inox Wind Ltd,0.0,1,12994037.0,0.0
SIS Ltd Ordinary Shares,0.0,1,989639.0,0.0
Safari Industries (India) Ltd,0.0,1,24300.0,0.0
GNA Axles Ltd,0.0,1,118573.0,0.0
Ethos Ltd,0.0,1,289012.0,0.0
JSW Cement Ltd,0.0,1,1020510.0,0.0
IndiaMART InterMESH Ltd,0.0,1,82846.0,0.0
State Bank of India,0.0,1,2180624.0,0.0
UPL Ltd,0.0,1,375198.0,0.0
National Aluminium Co Ltd,0.0,1,2290000.0,0.0
Eris Lifesciences Ltd Registered Shs,0.0,1,418483.0,0.0
Jubilant Pharmova Ltd,0.0,1,1535656.0,0.0
Kirloskar Ferrous Industries Ltd,0.0,1,1335352.0,0.0
Suryoday Small Finance Bank Ltd,0.0,1,694610.0,0.0
GE Vernova T&D India Ltd,0.0,1,220027.0,0.0
Rane Holdings Ltd,0.0,1,146008.0,0.0
Kirloskar Pneumatic Co Ltd,0.0,1,173429.0,0.0
Mangalore Chemicals & Fertilizers Ltd,0.0,1,531768.0,0.0
Jubilant Ingrevia Ltd Ordinary Shares,0.0,1,646673.0,0.0
E2E Networks Ltd Ordinary Shares,0.0,1,20000.0,0.0
Vedant Fashions Ltd,0.0,1,289873.0,0.0
Greenpanel Industries Ltd Ordinary Shares,0.0,1,778754.0,0.0
Tilaknagar Industries Ltd,0.0,1,1144454.0,0.0
Garware Hi-Tech Films Ltd,0.0,1,64022.0,0.0
Aditya Birla Fashion and Retail Ltd,0.0,1,9616081.0,0.0
Spicejet Ltd,0.0,1,15028063.0,0.0
Apar Industries Ltd,0.0,1,254796.0,0.0
VRL Logistics Ltd,0.0,1,667156.0,0.0
Arvind Ltd,0.0,1,6418196.0,0.0
JSW Energy Ltd,0.0,1,277905.0,0.0
Blue Star Ltd,0.0,1,227921.0,0.0
UPL Ltd Ordinary Shares (Partly Paid Rs.1),0.0,1,100512.0,0.0
Krsnaa Diagnostics Ltd,0.0,1,500257.0,0.0
Jyothy Labs Ltd,0.0,1,938237.0,0.0
Ujjivan Small Finance Bank Ltd Ordinary Shares,0.0,1,9666765.0,0.0
Electronics Mart India Ltd,0.0,1,3800589.0,0.0
Aster DM Healthcare Ltd Ordinary Shares,0.0,1,736399.0,0.0
AWL Agri Business Ltd,0.0,1,1720778.0,0.0
Medplus Health Services Ltd,0.0,1,394694.0,0.0
Glenmark Pharmaceuticals Ltd,0.0,1,850877.0,0.0
Syrma SGS Technology Ltd,0.0,1,635660.0,0.0
Birlasoft Ltd,0.0,1,1655611.0,0.0
Metropolis Healthcare Ltd,0.0,1,82513.0,0.0
Sansera Engineering Ltd,0.0,1,411108.0,0.0
Gulf Oil Lubricants India Ltd,0.0,1,189816.0,0.0
Sapphire Foods India Ltd,0.0,1,1275724.0,0.0
Clean Science and Technology Ltd,0.0,1,140000.0,0.0
DCB Bank Ltd,0.0,1,9967882.0,0.0
Bank of India,0.0,1,2370078.0,0.0
Aditya Birla Real Estate Ltd,0.0,1,357458.0,0.0
One97 Communications Ltd,0.0,1,240000.0,0.0
Axis Bank Ltd,0.0,1,1500000.0,0.0
Kilburn Engineering Ltd,0.0,1,799058.0,0.0
Punjab National Bank,0.0,1,700000.0,0.0
Landmark Cars Ltd,0.0,1,238333.0,0.0
Orient Electric Ltd Ordinary Shares,0.0,1,77178.0,0.0
Aarti Industries Ltd,0.0,1,615727.0,0.0
Affle 3i Ltd,0.0,1,53402.0,0.0
Windlas Biotech Ltd,0.0,1,51399.0,0.0
Yatra Online Ltd,0.0,1,1039154.0,0.0
Arvind Fashions Ltd,0.0,1,240573.0,0.0
Vikram Solar Ltd,0.0,1,603315.0,0.0
Keystone Realtors Ltd,0.0,1,472576.0,0.0
Sanathan Textiles Ltd,0.0,1,2663411.0,0.0
