,security_name,isin,sector,total_weight_pct,num_funds_holding,avg_weight_pct,coverage_pct
363,Medplus Health Services Ltd,INE804L01022,Healthcare,0.22821,1,0.02,10.0
469,SMS Pharmaceuticals Ltd,INE812G01025,Healthcare,0.15316,1,0.02,10.0
180,FSN E-Commerce Ventures Ltd,INE388Y01029,Consumer Cyclical,0.24833,1,0.02,10.0
159,Ecos (India) Mobility & Hospitality Ltd,INE06HJ01020,Industrials,0.22127,1,0.02,10.0
375,NIIT Ltd,INE161A01038,Consumer Defensive,0.18389,1,0.02,10.0
405,PDS Ltd,INE111Q01021,Industrials,0.17619,1,0.02,10.0
160,Edelweiss Financial Services Ltd,INE532F01054,Financial Services,0.19467,1,0.02,10.0
176,Exicom Tele-Systems Ltd,INE777F01014,Industrials,0.21497,1,0.02,10.0
400,Oriental Hotels Ltd,INE750A01020,Consumer Cyclical,0.16777,1,0.02,10.0
396,One97 Communications Ltd,INE982J01020,Technology,0.19893,1,0.02,10.0
332,LIC Housing Finance Ltd,INE115A01026,Financial Services,0.2294,1,0.02,10.0
336,Landmark Cars Ltd,INE559R01029,Consumer Cyclical,0.23920000000000002,2,0.02,20.0
92,Bombay Burmah Trading Corp Ltd,INE050A01025,Consumer Defensive,0.23695,1,0.02,10.0
259,INOX Green Energy Services Ltd,INE510W01014,Utilities,0.17139,1,0.02,10.0
77,Belrise Industries Ltd,INE894V01022,Consumer Cyclical,0.23101,1,0.02,10.0
511,Sterlite Technologies Ltd,INE089C01029,Technology,0.18583,1,0.02,10.0
227,Gulf Oil Lubricants India Ltd,INE635Q01029,Basic Materials,0.16289,1,0.02,10.0
509,Steel Strips Wheels Ltd,INE802C01033,Consumer Cyclical,0.16892,1,0.02,10.0
506,Stanley Lifestyles Ltd,INE01A001028,Consumer Cyclical,0.18869,2,0.02,20.0
388,Newgen Software Technologies Ltd,INE619B01017,Technology,0.15466,1,0.02,10.0
105,Capacit'e Infraprojects Ltd,INE264T01014,Industrials,0.19866,1,0.02,10.0
477,Sandhar Technologies Ltd Ordinary Shares,INE278H01035,Consumer Cyclical,0.17086,1,0.02,10.0
478,Sanofi Consumer Healthcare India Ltd,INE0UOS01011,Healthcare,0.18629,1,0.02,10.0
201,General Insurance Corp of India,INE481Y01014,Financial Services,0.14984,1,0.01,10.0
208,Go Fashion (India) Ltd,INE0BJS01011,Consumer Cyclical,0.1331,1,0.01,10.0
382,National Securities Depository Ltd,INE301O01023,Financial Services,0.10508,1,0.01,10.0
24,Ajax Engineering Ltd,INE274Y01021,Industrials,0.14266,1,0.01,10.0
199,Garware Hi-Tech Films Ltd,INE291A01017,Basic Materials,0.11859,1,0.01,10.0
18,Aeroflex Industries Ltd,INE024001021,Industrials,0.06392,1,0.01,10.0
226,Gujarat State Petronet Ltd,INE246F01010,Utilities,0.05515,1,0.01,10.0
598,Vikram Solar Ltd,INE078V01014,Technology,0.13944,1,0.01,10.0
367,Mishra Dhatu Nigam Ltd Ordinary Shares,INE099Z01011,Basic Materials,0.1443,1,0.01,10.0
182,Filatex India Ltd,INE816B01035,Consumer Cyclical,0.11749,1,0.01,10.0
1,3M India Ltd,INE470A01017,Industrials,0.08607,1,0.01,10.0
362,Mayur Uniquoters Ltd,INE040D01038,Consumer Cyclical,0.09887,1,0.01,10.0
31,All Time Plastics Ltd,INE0GV601021,Consumer Defensive,0.10376,1,0.01,10.0
184,Fineotex Chemical Ltd,INE045J01026,Basic Materials,0.12492,1,0.01,10.0
595,Venus Pipes & Tubes Ltd,INE0JA001018,Basic Materials,0.11056,1,0.01,10.0
356,Mangalore Chemicals & Fertilizers Ltd,INE558B01017,Basic Materials,0.12619,1,0.01,10.0
219,Greenpanel Industries Ltd Ordinary Shares,INE08ZM01014,Basic Materials,0.14464,1,0.01,10.0
352,Mahindra Holidays & Resorts India Ltd,INE998I01010,Consumer Cyclical,0.1216,1,0.01,10.0
348,MOIL Ltd,INE490G01020,Basic Materials,0.06304,1,0.01,10.0
345,M & B Engineering Ltd,INE08N601015,Industrials,0.0965,1,0.01,10.0
209,Godavari Biorefineries Ltd,INE497S01012,Basic Materials,0.05958,1,0.01,10.0
189,Flair Writing Industries Ltd,INE00Y201027,Industrials,0.07921,1,0.01,10.0
195,GPT Healthcare Ltd,INE486R01017,Healthcare,0.13539,1,0.01,10.0
74,Bansal Wire Industries Ltd,INE0B9K01025,Basic Materials,0.13077,1,0.01,10.0
134,Cyient DLM Ltd,INE055S01018,Technology,0.08196,1,0.01,10.0
515,Subros Ltd,INE287B01021,Consumer Cyclical,0.13038,1,0.01,10.0
510,Sterling Tools Ltd,INE334A01023,Industrials,0.12006,1,0.01,10.0
78,Best Agrolife Ltd,INE052T01013,Basic Materials,0.06247,1,0.01,10.0
257,IIFL Capital Services Ltd Ordinary Shares,INE489L01022,Financial Services,0.1083,1,0.01,10.0
492,Sheela Foam Ltd,INE916U01025,Consumer Cyclical,0.08126,1,0.01,10.0
260,IRM Energy Ltd,INE07U701015,Utilities,0.07155,1,0.01,10.0
529,Suryoday Small Finance Bank Ltd,INE428Q01011,Financial Services,0.05805,1,0.01,10.0
95,Brigade Hotel Ventures Ltd,INE03NU01014,Consumer Cyclical,0.12203,1,0.01,10.0
482,Satin Creditcare Network Ltd,INE836B01017,Financial Services,0.14343,1,0.01,10.0
474,Sai Silks (Kalamandir) Ltd,INE438K01021,Consumer Cyclical,0.12842,1,0.01,10.0
268,Indian Hume Pipe Co Ltd,INE323C01030,Industrials,0.09625,1,0.01,10.0
617,Yatra Online Ltd,INE0JR601024,Consumer Cyclical,0.10794,1,0.01,10.0
455,Raymond Realty Ltd,INE1SY401010,Real Estate,0.11589,1,0.01,10.0
454,Raymond Ltd,INE301A01014,Industrials,0.11455,1,0.01,10.0
544,Taj GVK Hotels & Resorts Ltd,INE586B01026,Consumer Cyclical,0.07988,1,0.01,10.0
293,JSW Energy Ltd,INE121E01018,Utilities,0.09322,1,0.01,10.0
240,Heritage Foods Ltd,INE978A01027,Consumer Defensive,0.14335,1,0.01,10.0
612,Wim Plast Ltd,INE015B01018,Consumer Cyclical,0.14967,1,0.01,10.0
434,Protean eGov Technologies Ltd,INE004A01022,Technology,0.12087,1,0.01,10.0
567,Transindia Real Estate Ltd,INE0O3901029,Real Estate,0.0864,1,0.01,10.0
54,Astec Lifesciences Ltd,INE563J01010,Basic Materials,0.07093,1,0.01,10.0
48,Artemis Medicare Services Ltd Ordinary Shares,INE025R01021,Healthcare,0.08519,1,0.01,10.0
423,Polyplex Corp Ltd,INE633B01018,Basic Materials,0.10265,1,0.01,10.0
144,Delta Corp Ltd,INE124G01033,Consumer Cyclical,0.07014,1,0.01,10.0
420,Pokarna Ltd,INE637C01025,Industrials,0.09413,1,0.01,10.0
147,Divgi TorqTransfer Systems Ltd,INE753U01022,Consumer Cyclical,0.11517,1,0.01,10.0
409,POWERGRID Infrastructure Investment Trust Units,INE0GGX23010,Utilities,0.08304,1,0.01,10.0
302,Jupiter Life Line Hospitals Ltd,INE682M01012,Healthcare,0.0,1,0.0,10.0
263,Indegene Ltd,INE065X01017,Healthcare,0.0,1,0.0,10.0
234,HP Adhesives Ltd,INE0GSL01024,Basic Materials,0.00453,1,0.0,10.0
276,Infosys Ltd,INE009A01021,Technology,0.0,1,0.0,10.0
613,Windlas Biotech Ltd,INE0H5O01029,Healthcare,0.03524,1,0.0,10.0
291,JNK India Ltd,INE0OAF01028,Industrials,0.0,1,0.0,10.0
295,Jagran Prakashan Ltd,INE199G01027,Communication Services,0.04644,1,0.0,10.0
395,Om Infra Ltd,INE239D01028,Industrials,0.00541,1,0.0,10.0
364,Metro Brands Ltd,INE317I01021,Consumer Cyclical,0.0,1,0.0,10.0
385,Netweb Technologies India Ltd,INE0NT901020,Technology,0.04284,2,0.0,20.0
157,EPACK Durable Ltd,INE0G5901015,Consumer Cyclical,0.0137,1,0.0,10.0
153,E2E Networks Ltd Ordinary Shares,INE255Z01019,Technology,0.03152,1,0.0,10.0
139,Dam Capital Advisors Ltd,INE284H01025,Financial Services,0.02604,1,0.0,10.0
432,Primo Chemicals Ltd Shs Dematerialised,INE607A01022,Basic Materials,0.04052,1,0.0,10.0
436,Punjab National Bank,INE160A01022,Financial Services,0.04849,1,0.0,10.0
132,Credo Brands Marketing Ltd,INE220Q01020,Consumer Cyclical,0.01953,1,0.0,10.0
539,TCPL Packaging Ltd,INE822C01015,Consumer Cyclical,0.04351,1,0.0,10.0
111,Ceigall India Ltd,INE0AG901020,Industrials,0.02084,1,0.0,10.0
96,Butterfly Gandhimathi Appliances Ltd,INE295F01017,Consumer Cyclical,0.02548,1,0.0,10.0
93,Brainbees Solutions Ltd,INE02RE01045,Consumer Cyclical,0.04906,1,0.0,10.0
81,Bharat Forge Ltd,INE465A01025,Consumer Cyclical,0.01693,1,0.0,10.0
80,Bharat Electronics Ltd,INE263A01024,Industrials,0.0,1,0.0,10.0
438,R K Swamy Ltd,INE0NQ801033,Communication Services,0.04627,1,0.0,10.0
