,trend_score,appearances,current_shares,share_change
Sudarshan Chemical Industries Ltd,0.0,1,1083578.0,0.0
Kalpataru Projects International Ltd,0.0,1,3622814.0,0.0
Praj Industries Ltd,0.0,1,5051724.0,0.0
Bharat Heavy Electricals Ltd,0.0,1,27500000.0,0.0
Sandhar Technologies Ltd Ordinary Shares,0.0,1,2555446.0,0.0
Tube Investments of India Ltd Ordinary Shares,0.0,1,2499222.0,0.0
Voltamp Transformers Ltd,0.0,1,642476.0,0.0
Gujarat Fluorochemicals Ltd Ordinary Shares,0.0,1,599041.0,0.0
Narayana Hrudayalaya Ltd,0.0,1,944173.0,0.0
Aditya Infotech Ltd,0.0,1,268936.0,0.0
JNK India Ltd,0.0,0,0.0,0.0
Procter & Gamble Health Ltd,0.0,1,692659.0,0.0
National Securities Depository Ltd,0.0,1,550139.0,0.0
Aditya Birla Lifestyle Brands Ltd,0.0,1,7755029.0,0.0
KPIT Technologies Ltd,0.0,1,743419.0,0.0
Radico Khaitan Ltd,0.0,1,2228907.0,0.0
Bajaj Consumer Care Ltd,0.0,1,9806760.0,0.0
AstraZeneca Pharma India Ltd,0.0,1,658075.0,0.0
ACME Solar Holdings Ltd,0.0,1,6350264.0,0.0
Credo Brands Marketing Ltd,0.0,1,1049435.0,0.0
Rishabh Instruments Ltd,0.0,1,1346725.0,0.0
Cyient DLM Ltd,0.0,1,1256139.0,0.0
Schaeffler India Ltd,0.0,1,484271.0,0.0
Honda India Power Products Ltd,0.0,1,894730.0,0.0
HDFC Life Insurance Co Ltd,0.0,1,5739968.0,0.0
JTEKT India Ltd,0.0,1,21133584.0,0.0
KEC International Ltd,0.0,1,1730868.0,0.0
Archean Chemical Industries Ltd,0.0,1,1373373.0,0.0
Krishna Institute of Medical Sciences Ltd,0.0,1,5125000.0,0.0
Harsha Engineers International Ltd,0.0,1,4136864.0,0.0
VST Tillers Tractors Ltd,0.0,1,543691.0,0.0
Syngene International Ltd,0.0,1,3473206.0,0.0
MTAR Technologies Ltd,0.0,1,929280.0,0.0
ELANTAS Beck India Ltd,0.0,1,651246.0,0.0
Belrise Industries Ltd,0.0,1,10728130.0,0.0
Brigade Enterprises Ltd,0.0,1,1832799.0,0.0
Ajanta Pharma Ltd,0.0,1,1674471.0,0.0
Ceigall India Ltd,0.0,1,550950.0,0.0
Galaxy Surfactants Ltd,0.0,1,1312429.0,0.0
JK Lakshmi Cement Ltd,0.0,1,1063054.0,0.0
Inox Wind Ltd,0.0,1,26363302.0,0.0
SIS Ltd Ordinary Shares,0.0,1,2124021.0,0.0
Raymond Lifestyle Ltd,0.0,1,990674.0,0.0
Tejas Networks Ltd,0.0,1,5763697.0,0.0
TTK Prestige Ltd,0.0,1,3430809.0,0.0
Astec Lifesciences Ltd,0.0,1,526867.0,0.0
Rainbow Childrens Medicare Ltd,0.0,1,785051.0,0.0
TD Power Systems Ltd,0.0,1,10278244.0,0.0
Persistent Systems Ltd,0.0,1,550028.0,0.0
JSW Cement Ltd,0.0,1,10098996.0,0.0
IndiaMART InterMESH Ltd,0.0,1,258952.0,0.0
State Bank of India,0.0,1,9100000.0,0.0
Vishal Mega Mart Ltd,0.0,1,20000000.0,0.0
Paradeep Phosphates Ltd,0.0,1,38089109.0,0.0
Kirloskar Ferrous Industries Ltd,0.0,1,1532554.0,0.0
Kirloskar Pneumatic Co Ltd,0.0,1,4102361.0,0.0
