fund_id,fund_name,security_name,isin,number_of_shares,share_change,sector
INF0QA701BK8,INF0QA701BK8,SAMHI Hotels Ltd,INE08U801020,257327.0,53305.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Orient Electric Ltd Ordinary Shares,INE142Z01019,251438.0,73114.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Alembic Pharmaceuticals Ltd,INE901L01018,55521.0,0.0,Healthcare
INF0QA701BK8,INF0QA701BK8,R R Kabel Ltd,INE777K01022,44362.0,6748.0,Industrials
INF0QA701BK8,INF0QA701BK8,Vinati Organics Ltd,INE410B01037,30156.0,0.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Concord Biotech Ltd,INE338H01029,30632.0,0.0,Healthcare
INF0QA701BK8,INF0QA701BK8,DCB Bank Ltd,INE503A01015,395706.0,-408213.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Krishna Institute of Medical Sciences Ltd,INE967H01025,66835.0,31835.0,Healthcare
INF0QA701BK8,INF0QA701BK8,Tips Music Ltd,INE716B01029,75784.0,0.0,Communication Services
INF0QA701BK8,INF0QA701BK8,Westlife Foodworld Ltd,INE274F01020,56487.0,0.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Thangamayil Jewellery Ltd,INE085J01014,16753.0,16753.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Krsnaa Diagnostics Ltd,INE08LI01020,46391.0,11843.0,Healthcare
INF0QA701BK8,INF0QA701BK8,Indiqube Spaces Ltd,INE06ST01018,152676.0,152676.0,Real Estate
INF0QA701BK8,INF0QA701BK8,Ingersoll-Rand (India) Ltd,INE177A01018,6332.0,6332.0,Industrials
INF0QA701BK8,INF0QA701BK8,Angel One Ltd Ordinary Shares,INE732I01013,0.0,-29416.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Jubilant Pharmova Ltd,INE700A01033,0.0,-47361.0,Healthcare
INF0QA701BK8,INF0QA701BK8,KSB Ltd,INE999A01023,0.0,-48207.0,Industrials
INF0QA701BK8,INF0QA701BK8,Sundaram Fasteners Ltd,INE387A01021,0.0,-22500.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Dr. Lal PathLabs Ltd,INE600L01024,0.0,-60098.0,Healthcare
INF0QA701BK8,INF0QA701BK8,Gokaldas Exports Ltd,INE887G01027,0.0,-130834.0,Consumer Cyclical
