,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Sagility Ltd,0.0,1,9163724.0,0.0,False,False,
Anthem Biosciences Ltd,0.0,1,124000.0,0.0,False,False,
Gillette India Ltd,0.0,1,23422.0,0.0,False,False,
Radico Khaitan Ltd,0.0,1,128877.0,0.0,False,False,
Neuland Laboratories Ltd,1.0,1,12369.0,0.0,False,False,True
Awfis Space Solutions Ltd,0.0,1,605067.0,0.0,False,False,
Le Travenues Technology Ltd,0.0,1,894257.0,0.0,False,False,
Urban Co Ltd,1.0,1,789235.0,0.0,True,False,True
MTAR Technologies Ltd,1.0,1,69239.0,0.0,True,False,True
Brigade Enterprises Ltd,0.0,1,136172.0,0.0,False,False,
Ganesha Ecosphere Ltd,0.0,1,102775.0,0.0,False,False,
Aster DM Healthcare Ltd Ordinary Shares,1.0,1,271011.0,0.0,True,False,True
Concord Enviro Systems Ltd,-1.0,1,0.0,0.0,False,True,True
Blue Star Ltd,0.0,1,208329.0,0.0,False,False,
KEI Industries Ltd,-1.0,1,57500.0,0.0,False,False,True
Home First Finance Co India Ltd ---,0.0,1,191318.0,0.0,False,False,
Multi Commodity Exchange of India Ltd,0.0,1,72331.0,0.0,False,False,
360 One Wam Ltd Ordinary Shares,0.0,1,146853.0,0.0,False,False,
Mrs Bectors Food Specialities Ltd Ordinary Shares,0.0,1,228058.0,0.0,False,False,
Global Health Ltd,-1.0,1,175412.0,0.0,False,False,True
CreditAccess Grameen Ltd Ordinary Shares,0.0,1,92184.0,0.0,False,False,
Akzo Nobel India Ltd,0.0,1,50317.0,0.0,False,False,
Ratnamani Metals & Tubes Ltd,0.0,1,46556.0,0.0,False,False,
Ather Energy Ltd,0.0,1,340038.0,0.0,False,False,
P N Gadgil Jewellers Ltd,0.0,0,0.0,0.0,False,False,
Triveni Turbine Ltd,0.0,1,487731.0,0.0,False,False,
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,205663.0,0.0,False,False,
International Gemmological Institute (India) Ltd,0.0,1,684863.0,0.0,False,False,
Sai Life Sciences Ltd,0.0,1,302242.0,0.0,False,False,
Shivalik Bimetal Controls Ltd,0.0,1,168306.0,0.0,False,False,
Bharat Rasayan Ltd,0.0,1,25978.0,0.0,False,False,
Innova Captab Ltd,0.0,1,46227.0,0.0,False,False,
Metro Brands Ltd,0.0,0,0.0,0.0,False,False,
Technocraft Industries (India) Ltd,-1.0,1,1310.0,0.0,False,False,True
Data Patterns (India) Ltd,0.0,1,88500.0,0.0,False,False,
Timken India Ltd,0.0,1,65790.0,0.0,False,False,
Eternal Ltd,1.0,1,530000.0,0.0,True,False,True
Blackbuck Ltd,0.0,1,273210.0,0.0,False,False,
Blue Jet Healthcare Ltd,1.0,1,118519.0,0.0,True,False,True
Bluestone Jewellery And Lifestyle Ltd,0.0,1,338361.0,0.0,False,False,
Rainbow Childrens Medicare Ltd,-1.0,1,111521.0,0.0,False,False,True
Vishal Mega Mart Ltd,0.0,1,2236441.0,0.0,False,False,
CCL Products (India) Ltd,0.0,1,475850.0,0.0,False,False,
Krishna Institute of Medical Sciences Ltd,0.0,1,677329.0,0.0,False,False,
Karur Vysya Bank Ltd,0.0,1,1230585.0,0.0,False,False,
Kirloskar Pneumatic Co Ltd,0.0,1,155095.0,0.0,False,False,
Greenply Industries Ltd,0.0,1,504527.0,0.0,False,False,
PB Fintech Ltd,0.0,1,88300.0,0.0,False,False,
Crompton Greaves Consumer Electricals Ltd,0.0,0,0.0,0.0,False,False,
Cholamandalam Financial Holdings Ltd,0.0,1,101128.0,0.0,False,False,
Affle 3i Ltd,0.0,1,219887.0,0.0,False,False,
Schneider Electric Infrastructure Ltd,0.0,1,209802.0,0.0,False,False,
Max Financial Services Ltd,0.0,1,110000.0,0.0,False,False,
Tega Industries Ltd,-1.0,1,75699.0,0.0,False,False,True
JK Lakshmi Cement Ltd,0.0,1,276123.0,0.0,False,False,
Dixon Technologies (India) Ltd,-1.0,1,19011.0,0.0,False,False,True
Bikaji Foods International Ltd,0.0,1,287657.0,0.0,False,False,
Hexaware Technologies Ltd Ordinary Shares,0.0,1,275287.0,0.0,False,False,
Safari Industries (India) Ltd,0.0,1,96075.0,0.0,False,False,
Sansera Engineering Ltd,0.0,1,149242.0,0.0,False,False,
Solar Industries India Ltd,0.0,1,32376.0,0.0,False,False,
Sumitomo Chemical India Ltd Ordinary Shares,0.0,1,630408.0,0.0,False,False,
Dr Agarwal’s Health Care Ltd,0.0,1,537755.0,0.0,False,False,
DOMS Industries Ltd,0.0,1,145883.0,0.0,False,False,
JK Cement Ltd,0.0,1,41960.0,0.0,False,False,
Sharda Motor Industries Ltd,0.0,1,200384.0,0.0,False,False,
Eureka Forbes Ltd,-1.0,1,498735.0,0.0,False,False,True
Gabriel India Ltd,-1.0,1,269101.0,0.0,False,False,True
Kaynes Technology India Ltd,-1.0,1,23590.0,0.0,False,False,True
Navin Fluorine International Ltd,0.0,1,70355.0,0.0,False,False,
