,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
PG Electroplast Ltd,1.0,1,1741883.0,0.0,False,False,True
Niva Bupa Health Insurance Co Ltd,2.0,1,15589384.0,11.9536138962977,False,False,True
Alicon Castalloy Ltd,0.0,1,1011361.0,0.0,False,False,
Equitas Small Finance Bank Ltd Ordinary Shares,2.0,1,3207675.0,143.4516409604867,True,False,True
CreditAccess Grameen Ltd Ordinary Shares,0.0,1,1532673.0,0.0,False,False,
Ujjivan Small Finance Bank Ltd Ordinary Shares,1.0,1,21911185.0,0.0,True,False,True
LG Electronics India Ltd,1.0,1,223812.0,0.0,True,False,True
Gokaldas Exports Ltd,1.0,1,2037712.0,0.0,False,False,True
Kalpataru Projects International Ltd,0.0,1,1774516.0,0.0,False,False,
Can Fin Homes Ltd,0.0,1,4272355.0,0.0,False,False,
EPL Ltd Ordinary Shares,-1.0,1,0.0,0.0,False,True,True
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,2984782.0,0.0,False,False,
Avalon Technologies Ltd,0.0,1,2018325.0,0.0,False,False,
GE Vernova T&D India Ltd,-1.0,1,296226.0,0.0,False,False,True
Tata Consultancy Services Ltd,2.0,1,780213.0,34.470099773703794,False,False,True
Welspun Corp Ltd,1.0,1,1707646.0,0.0,False,False,True
Ellenbarrie Industrial Gases Ltd,0.0,1,2344809.0,0.0,False,False,
Sharda Motor Industries Ltd,0.0,1,516620.0,0.0,False,False,
Carborundum Universal Ltd,0.0,1,1560588.0,0.0,False,False,
Craftsman Automation Ltd,0.0,1,448509.0,0.0,False,False,
Midwest Ltd,2.0,1,361349.0,0.5260698050954493,True,False,True
Tenneco Clean Air India Ltd,1.0,1,2213157.0,0.0,True,False,True
Ahluwalia Contracts (India) Ltd,0.0,1,3220147.0,0.0,False,False,
Sudarshan Chemical Industries Ltd,0.0,1,1945414.0,0.0,False,False,
VA Tech Wabag Ltd,-1.0,1,0.0,0.0,False,True,True
PNC Infratech Ltd,0.0,1,3805180.0,0.0,False,False,
Aarti Industries Ltd,0.0,1,785001.0,0.0,False,False,
Gland Pharma Ltd,0.0,1,458035.0,0.0,False,False,
Prudent Corporate Advisory Services Ltd,0.0,1,125000.0,0.0,False,False,
Hindalco Industries Ltd,0.0,1,1430102.0,0.0,False,False,
Chemplast Sanmar Ltd,0.0,1,5799329.0,0.0,False,False,
Affle 3i Ltd,0.0,1,1214969.0,0.0,False,False,
HDFC Bank Ltd,1.0,1,4067560.0,0.0,False,False,True
Delhivery Ltd,1.0,1,2495630.0,66.86145637624278,False,False,True
Anthem Biosciences Ltd,-1.0,1,0.0,0.0,False,True,True
Cohance Lifesciences Ltd,0.0,1,2540619.0,0.0,False,False,
UNO Minda Ltd,0.0,1,976563.0,0.0,False,False,
Crompton Greaves Consumer Electricals Ltd,0.0,1,7011705.0,0.0,False,False,
Happy Forgings Ltd,0.0,1,275287.0,0.0,False,False,
CIE Automotive India Ltd,0.0,1,3505127.0,0.0,False,False,
Rolex Rings Ltd,1.0,1,9812900.0,0.0,False,False,True
Container Corporation of India Ltd,0.0,1,840528.0,0.0,False,False,
Ather Energy Ltd,0.0,1,173503.0,-21.681449883765545,True,False,True
Alembic Pharmaceuticals Ltd,0.0,1,1455416.0,0.0,False,False,
PNB Housing Finance Ltd,2.0,1,1559900.0,47.17426172280404,False,False,True
Jain Resource Recycling Ltd,0.0,1,2456262.0,0.0,False,False,
Rainbow Childrens Medicare Ltd,0.0,1,853305.0,0.0,False,False,
Galaxy Surfactants Ltd,0.0,1,1406032.0,0.0,False,False,
Deepak Fertilisers & Petrochemicals Corp Ltd,0.0,1,1078851.0,0.0,False,False,
India Shelter Finance Corporation Ltd,0.0,1,2391697.0,0.0,False,False,
Birlasoft Ltd,2.0,1,3321922.0,16.012309746869306,False,False,True
SJS Enterprises Ltd,0.0,1,1377351.0,0.0,False,False,
Vijaya Diagnostic Centre Ltd,0.0,1,1967924.0,0.0,False,False,
Balrampur Chini Mills Ltd,1.0,1,2571523.0,0.0,False,False,True
Narayana Hrudayalaya Ltd,-1.0,1,1663780.0,0.0,False,False,True
BSE Ltd,-1.0,1,0.0,-100.0,False,True,True
Titagarh Rail Systems Ltd,0.0,1,932832.0,0.0,False,False,
Multi Commodity Exchange of India Ltd,0.0,1,660372.0,0.0,False,False,
Kirloskar Oil Engines Ltd,0.0,1,1722073.0,0.0,False,False,
Engineers India Ltd,0.0,1,2035883.0,0.0,False,False,
Whirlpool of India Ltd,0.0,1,694567.0,0.0,False,False,
Hi-Tech Pipes Ltd,1.0,1,288791.0,0.0,True,False,True
