,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Alicon Castalloy Ltd,0,2,665205.0,0.0,False,False,,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Tilaknagar Industries Ltd,0,1,1149173.0,0.41233636301677484,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Trualt Bioenergy Ltd,2,2,609094.5,0.0,True,False,True,"Franklin Small Cap Fund,SBI Small Cap Fund","Franklin Small Cap Fund,SBI Small Cap Fund",,2,0,2,1
All Time Plastics Ltd,0,1,599734.0,17.887540443532377,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Shaily Engineering Plastics Ltd,0,2,750003.5,-0.27335728486878486,False,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
LG Electronics India Ltd,1,1,24639.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Syrma SGS Technology Ltd,1,3,1326061.0,5.126924089569299,False,False,,"Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Kotak Small Cap Fund,,1,0,3,2
Electronics Mart India Ltd,0,2,2925794.5,0.39467566737681975,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
DCB Bank Ltd,0,2,12126738.0,14.774833811234926,False,False,True,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Apeejay Surrendra Park Hotels Ltd,0,3,5450484.0,-6.83616659648677,False,False,True,"Axis Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Jubilant Ingrevia Ltd Ordinary Shares,0,2,1985062.5,57.6213171108118,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Archean Chemical Industries Ltd,0,2,1037703.0,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Bharat Forge Ltd,0,1,22281.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
