,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
OneSource Specialty Pharma Ltd,-2.0,1,16480.0,-95.67259846282715,False,False,True
Just Dial Ltd,0.0,1,3767715.0,0.0,False,False,
NCC Ltd,0.0,1,15652969.0,0.0,False,False,
Adani Enterprises Ltd,0.0,1,2468292.0,0.0,False,False,
HFCL Ltd,0.0,1,75584924.0,0.0,False,False,
Delhivery Ltd,0.0,1,3328886.0,0.0,False,False,
Ethos Ltd,0.0,1,87898.0,0.0,False,False,
Ventive Hospitality Ltd,0.0,1,8315686.0,0.0,False,False,
TVS Srichakra Ltd,0.0,1,377551.0,0.0,False,False,
Zydus Wellness Ltd,1.0,1,9033845.0,0.0,False,False,True
BASF India Ltd,0.0,1,170585.0,0.0,False,False,
Indoco Remedies Ltd,0.0,1,4199230.0,0.0,False,False,
Gland Pharma Ltd,0.0,1,1376279.0,0.0,False,False,
Bikaji Foods International Ltd,-1.0,1,9172820.0,0.0,False,False,True
Sequent Scientific Ltd,0.0,1,22502050.0,0.0,False,False,
Prime Securities Ltd,0.0,1,1649942.0,0.0,False,False,
Exicom Tele-Systems Ltd,0.0,1,4343422.0,0.0,False,False,
