date,fund_id,stock,action,shares_change
2025-11-23,INF204K01K15,Premier Energies Ltd,exit,796635.0
2025-11-23,INF204K01K15,R K Swamy Ltd,decrease,214029.0
2025-11-23,INF204K01K15,Vedanta Ltd,decrease,1919495.0
2025-11-23,INF204K01K15,Wonderla Holidays Ltd,decrease,96885.0
2025-11-23,INF204K01K15,Genus Power Infrastructures Ltd,decrease,549673.0
2025-11-23,INF204K01K15,eClerx Services Ltd,decrease,49536.0
2025-11-23,INF204K01K15,Amber Enterprises India Ltd Ordinary Shares,exit,19653.0
2025-11-23,INF204K01K15,Schloss Bangalore Ltd,exit,3688067.0
2025-11-23,INF204K01K15,Bajaj Consumer Care Ltd,decrease,2012818.0
2025-11-23,INF204K01K15,Hitachi Energy India Ltd Ordinary Shares,decrease,3641.0
2025-11-23,INF204K01K15,Gujarat Fluorochemicals Ltd Ordinary Shares,decrease,188457.0
2025-11-23,INF247L01BY3,Sagility Ltd,decrease,3942894.0
2025-11-23,INF247L01BY3,Apar Industries Ltd,decrease,139.0
2025-11-23,INF247L01BY3,V2 Retail Ltd,decrease,165140.0
2025-11-23,INF247L01BY3,Cholamandalam Investment and Finance Co Ltd,decrease,11250.0
2025-11-23,INF247L01BY3,Aditya Birla Capital Ltd,exit,56180.0
2025-11-23,INF247L01BY3,P N Gadgil Jewellers Ltd,decrease,200000.0
2025-11-23,INF247L01BY3,Karur Vysya Bank Ltd,decrease,510872.0
2025-11-23,INF247L01BY3,Suzlon Energy Ltd,exit,15140045.0
2025-11-23,INF247L01BY3,Glenmark Pharmaceuticals Ltd,decrease,245047.0
2025-11-23,INF247L01BY3,Kaynes Technology India Ltd,decrease,101819.0
2025-11-23,INF247L01BY3,Shaily Engineering Plastics Ltd,decrease,114470.0
2025-11-23,INF247L01BY3,Indus Towers Ltd Ordinary Shares,exit,3010536.0
2025-11-23,INF247L01BY3,Pitti Engineering Ltd,exit,993888.0
2025-11-23,INF247L01BY3,Gufic Biosciences Ltd,exit,1420453.0
2025-11-23,INF247L01BY3,Triveni Turbine Ltd,decrease,524678.0
2025-11-23,INF247L01BY3,Hitachi Energy India Ltd Ordinary Shares,exit,9197.0
2025-11-23,INF247L01BY3,Sagility India Ltd,exit,14381746.0
2025-11-23,INF247L01BY3,Inox Wind Ltd,exit,962.0
2025-11-23,INF247L01BY3,V-Guard Industries Ltd,exit,2745173.0
2025-11-23,INF247L01BY3,Gokaldas Exports Ltd,decrease,26078.0
2025-11-23,INF247L01BY3,Rossari Biotech Ltd Ordinary Shares,decrease,253456.0
2025-11-23,INF247L01BY3,GE Vernova T&D India Ltd,decrease,37076.0
2025-11-23,INF247L01BY3,Godrej Agrovet Ltd Ordinary Shares,exit,706728.0
2025-11-23,INF247L01BY3,Carraro India Ltd,exit,1176990.0
2025-11-23,INF247L01BY3,Inox Wind Ltd - Rights,exit,53336.0
2025-11-23,INF179KA1RZ8,Delta Corp Ltd,decrease,1000000.0
2025-11-23,INF179KA1RZ8,Repco Home Finance Ltd,exit,524700.0
2025-11-23,INF179KA1RZ8,Bajel Projects Ltd,exit,5545822.0
2025-11-23,INF179KA1RZ8,Power Mech Projects Ltd,decrease,25000.0
