,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Alicon Castalloy Ltd,0.0,1,319049.0,0.0,False,False,
Tilaknagar Industries Ltd,1.0,1,1149173.0,0.41233636301677484,False,False,True
Trualt Bioenergy Ltd,1.0,1,714159.0,0.0,True,False,True
All Time Plastics Ltd,1.0,1,599734.0,17.887540443532377,False,False,True
Shaily Engineering Plastics Ltd,-1.0,1,821873.0,-0.5467145697375697,False,False,True
LG Electronics India Ltd,1.0,1,24639.0,0.0,True,False,True
Syrma SGS Technology Ltd,0.0,1,635660.0,0.0,False,False,
Electronics Mart India Ltd,1.0,1,3830589.0,0.7893513347536395,False,False,True
DCB Bank Ltd,1.0,1,12913358.0,29.54966762246985,False,False,True
Apeejay Surrendra Park Hotels Ltd,1.0,1,3010931.0,10.525490823714593,False,False,True
Jubilant Ingrevia Ltd Ordinary Shares,1.0,1,1391916.0,115.2426342216236,False,False,True
Archean Chemical Industries Ltd,0.0,1,702033.0,0.0,False,False,
Bharat Forge Ltd,0.0,1,22281.0,0.0,False,False,
Angel One Ltd Ordinary Shares,1.0,1,439564.0,36.45377389533549,False,False,True
Blue Star Ltd,-1.0,1,213879.0,-6.160906629928791,False,False,True
Juniper Hotels Ltd,1.0,1,2553166.0,1.0103144092744625,False,False,True
One97 Communications Ltd,-1.0,1,149782.0,-37.590833333333336,False,False,True
Vikram Solar Ltd,1.0,1,633880.0,5.066176044023437,False,False,True
Cyient Ltd,1.0,1,1094084.0,13.997126326000497,False,False,True
Computer Age Management Services Ltd Ordinary Shares,0.0,1,142949.0,0.0,False,False,
Kewal Kiran Clothing Ltd,1.0,1,1450737.0,1.3598374594941292,False,False,True
Aditya Infotech,0.0,0,0.0,0.0,False,False,
GPT Healthcare Ltd,1.0,1,3240121.0,143.4464265052166,False,False,True
NLC India Ltd,0.0,1,1821422.0,0.0,False,False,
Jyothy Labs Ltd,1.0,1,953084.0,1.582435994317001,False,False,True
Inox Wind Ltd,0.0,1,12994037.0,0.0,False,False,
IRM Energy Ltd,0.0,1,393969.0,0.0,False,False,
Blackbuck Ltd,0.0,1,250000.0,0.0,False,False,
Birla Corp Ltd,1.0,1,254710.0,0.0,True,False,True
Steel Strips Wheels Ltd,0.0,1,1138043.0,0.0,False,False,
Orchid Pharma Ltd,1.0,1,294201.0,15.394662524710533,False,False,True
Rishabh Instruments Ltd,-1.0,1,99485.0,-44.09730221790167,False,False,True
Amanta Healthcare,-1.0,1,0.0,-100.0,False,True,True
Axis Bank Ltd,1.0,1,1600000.0,6.666666666666667,False,False,True
Mahindra Lifespace Developers Ltd,0.0,1,1958855.0,0.0,False,False,
Heritage Foods Ltd,0.0,1,452302.0,0.0,False,False,
Repco Home Finance Ltd,1.0,1,3844633.0,10.729710767699437,False,False,True
Cholamandalam Financial Holdings Ltd,1.0,1,1408592.0,1.7333626079018223,False,False,True
GE Vernova T&D India Ltd,-1.0,1,90149.0,-59.028210174205896,False,False,True
Akums Drugs and Pharmaceuticals Ltd,1.0,1,1699178.0,14.65763537158273,False,False,True
JK Paper Ltd,1.0,1,148399.0,0.0,True,False,True
Yatra Online Ltd,-1.0,1,680475.0,-34.51644318358973,False,False,True
Aurobindo Pharma Ltd,0.0,1,650429.0,0.0,False,False,
Zee Entertainment Enterprises Ltd,1.0,1,2293930.0,6.9964970871250465,False,False,True
Suryoday Small Finance Bank Ltd,1.0,1,1093182.0,57.38068844387498,False,False,True
TARC Ltd Ordinary Shares,1.0,1,10619558.0,8.10059351935417,False,False,True
Sanathan Textiles Ltd,1.0,1,2679482.0,0.6033991749677388,False,False,True
Ujjivan Small Finance Bank Ltd Ordinary Shares,1.0,1,9908489.0,2.5005676666392533,False,False,True
Filatex India Ltd,1.0,1,3676679.0,11.357554075369931,False,False,True
Landmark Cars Ltd,0.0,1,238333.0,0.0,False,False,
Eureka Forbes Ltd,0.0,1,565642.0,0.0,False,False,
Manappuram Finance Ltd,-1.0,1,4256895.0,-10.934228211510169,False,False,True
Oswal Pumps Ltd,1.0,1,202471.0,6.300171679678271,False,False,True
Butterfly Gandhimathi Appliances Ltd,0.0,1,51013.0,0.0,False,False,
GK Energy Ltd,1.0,1,337013.0,0.0,True,False,True
TBO Tek Ltd,-1.0,1,117096.0,-14.439784301977232,False,False,True
Pennar Industries Ltd,1.0,1,252673.0,0.0,True,False,True
Aditya Infotech Ltd,-1.0,1,48294.0,-49.84734251355224,False,False,True
Spicejet Ltd,0.0,1,15028063.0,0.0,False,False,
SIS Ltd Ordinary Shares,1.0,1,2227613.0,125.09349368810243,False,False,True
Radico Khaitan Ltd,-1.0,1,67453.0,-56.892981761014326,False,False,True
Fedbank Financial Services Ltd,-1.0,1,7377916.0,-3.3027886545539955,False,False,True
Krsnaa Diagnostics Ltd,1.0,1,580225.0,15.985383512874382,False,False,True
Flair Writing Industries Ltd,1.0,1,399224.0,7.161570176945542,False,False,True
Birlasoft Ltd,1.0,1,1745611.0,5.4360595574685115,False,False,True
Garware Hi-Tech Films Ltd,0.0,1,64022.0,0.0,False,False,
Windlas Biotech Ltd,1.0,1,81399.0,58.36689429755443,False,False,True
Indus Towers Ltd Ordinary Shares,1.0,1,900000.0,0.0,True,False,True
Aster DM Healthcare Ltd Ordinary Shares,-1.0,1,689119.0,-6.420432401456276,False,False,True
Poly Medicure Ltd,1.0,1,5418.0,0.0,True,False,True
Bank of Baroda,0.0,1,3166899.0,0.0,False,False,
Arvind Ltd,1.0,1,7680260.0,19.663843235700497,False,False,True
Aegis Vopak Terminals Ltd,1.0,1,611399.0,16.532198886519105,False,False,True
Epigral Ltd,1.0,1,403705.0,8.675638061037425,False,False,True
Pace Digitek Ltd,1.0,1,2690999.0,0.0,True,False,True
Godavari Biorefineries Ltd,0.0,1,351261.0,0.0,False,False,
Aditya Birla Sun Life AMC Ltd,0.0,1,398053.0,0.0,False,False,
Aptus Value Housing Finance India Ltd,1.0,1,1183707.0,5.339470164375589,False,False,True
Triveni Engineering & Industries Ltd,1.0,1,1020656.0,2.9534707315892255,False,False,True
Info Edge (India) Ltd,1.0,1,1900000.0,8.571428571428571,False,False,True
Godawari Power & Ispat Ltd,-1.0,1,4916636.0,-0.40017097514580496,False,False,True
Jain Resource Recycling Ltd,1.0,1,655704.0,0.0,True,False,True
Motilal Oswal Financial Services Ltd,-1.0,1,1431315.0,-3.0378184449090138,False,False,True
Power Finance Corp Ltd,0.0,1,4286755.0,0.0,False,False,
Exide Industries Ltd,0.0,1,572070.0,0.0,False,False,
Sky Gold and Diamonds Ltd,1.0,1,77140.0,0.0,True,False,True
Emcure Pharmaceuticals Ltd,1.0,1,295129.0,12.589221337585693,False,False,True
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,251559.0,0.0,False,False,
S H Kelkar & Co Ltd,1.0,1,3942304.0,4.158680990947718,False,False,True
Kilburn Engineering Ltd,1.0,1,889647.0,11.336974287223207,False,False,True
Narayana Hrudayalaya Ltd,1.0,1,190000.0,0.0,True,False,True
Punjab National Bank,-1.0,1,0.0,-100.0,False,True,True
Mangalore Chemicals & Fertilizers Ltd,-1.0,1,0.0,-100.0,False,True,True
Amara Raja Energy & Mobility Ltd,1.0,1,905999.0,2.539032216079179,False,False,True
Rashi Peripherals Ltd,1.0,1,4490918.0,16.73542424652809,False,False,True
Godrej Industries Ltd,1.0,1,1201029.0,233.34323254639213,False,False,True
Marksans Pharma Ltd,1.0,1,3335509.0,2.300254346790639,False,False,True
Artemis Medicare Services Ltd Ordinary Shares,1.0,1,609551.0,7.598900623650713,False,False,True
JK Tyre & Industries Ltd,-1.0,1,663789.0,-4.804320733583923,False,False,True
Karnataka Bank Ltd,1.0,1,10269537.0,7.359810201878997,False,False,True
Kirloskar Oil Engines Ltd,1.0,1,1439673.0,2.128153124873641,False,False,True
Nitin Spinners Ltd,1.0,1,3236768.0,5.217360776109234,False,False,True
Emami Ltd,0.0,1,478304.0,0.0,False,False,
Satin Creditcare Network Ltd,0.0,1,1543801.0,0.0,False,False,
Gulf Oil Lubricants India Ltd,0.0,1,189816.0,0.0,False,False,
Jupiter Wagons Ltd,0.0,1,2300773.0,0.0,False,False,
MOIL Ltd,0.0,1,277970.0,0.0,False,False,
Shilpa Medicare Ltd,1.0,1,2225882.0,101.81333362346672,False,False,True
Senco Gold Ltd,1.0,1,3148138.0,17.381945524189206,False,False,True
Mastek Ltd,1.0,1,322058.0,66.15144917816276,False,False,True
Affle 3i Ltd,-1.0,1,0.0,-100.0,False,True,True
M & B Engineering Ltd,-1.0,1,197002.0,-39.32276266508969,False,False,True
Digitide Solutions Ltd,0.0,1,888303.0,0.0,False,False,
LT Foods Ltd,1.0,1,9000572.0,26.482715338244578,False,False,True
Yatharth Hospital and Trauma Care Services Ltd,-1.0,1,2681785.0,-7.508740297037318,False,False,True
Redington Ltd,1.0,1,1002329.0,0.0,True,False,True
REC Ltd,1.0,1,12623275.0,47.26610509295365,False,False,True
Tata Communications Ltd,1.0,1,590136.0,13.487692307692308,False,False,True
Kolte-Patil Developers Ltd,0.0,1,2144741.0,0.0,False,False,
Bluspring Enterprises Ltd,0.0,1,888303.0,0.0,False,False,
Prestige Estates Projects Ltd,0.0,1,822793.0,0.0,False,False,
Dam Capital Advisors Ltd,0.0,1,172927.0,0.0,False,False,
VRL Logistics Ltd,0.0,1,667156.0,0.0,False,False,
Jubilant Pharmova Ltd,1.0,1,1742233.0,13.452036133092307,False,False,True
Power Mech Projects Ltd,0.0,1,178209.0,0.0,False,False,
Aditya Birla Fashion and Retail Ltd,0.0,1,9616081.0,0.0,False,False,
Brigade Hotel Ventures Ltd,1.0,1,2670506.0,30.897403722859867,False,False,True
STL Networks Ltd,1.0,1,2359469.0,0.0,True,False,True
Updater Services Ltd,0.0,1,2960080.0,0.0,False,False,
Awfis Space Solutions Ltd,1.0,1,660967.0,0.0,True,False,True
Apar Industries Ltd,0.0,1,254796.0,0.0,False,False,
Vedant Fashions Ltd,0.0,1,289873.0,0.0,False,False,
Ramco Cements Ltd,1.0,1,115657.0,78.87777038835702,False,False,True
PCBL Chemical Ltd,1.0,1,5680240.0,3.6648350886260386,False,False,True
RHI Magnesita India Ltd,1.0,1,945378.0,32.38011087477368,False,False,True
PG Electroplast Ltd,1.0,1,303000.0,10.989010989010989,False,False,True
Bansal Wire Industries Ltd,0.0,1,534003.0,0.0,False,False,
M&B Engnrg Lt,0.0,0,0.0,0.0,False,False,
Max Estates Ltd,1.0,1,204595.0,0.0,True,False,True
Concord Enviro Systems Ltd,0.0,1,403805.0,0.0,False,False,
Greenpanel Industries Ltd Ordinary Shares,0.0,1,778754.0,0.0,False,False,
General Insurance Corp of India,1.0,1,2300000.0,283.33333333333337,False,False,True
Lumax Auto Technologies Ltd,-1.0,1,320531.0,-20.582405439021613,False,False,True
Stl Networks Limit,-1.0,1,0.0,-100.0,False,True,True
Great Eastern Shipping Co Ltd,0.0,1,1477024.0,0.0,False,False,
Grasim Industries Ltd,0.0,1,180598.0,0.0,False,False,
PNB Housing Finance Ltd,1.0,1,2768271.0,16.9770890176957,False,False,True
P N Gadgil Jewellers Ltd,1.0,1,1440566.0,2.981869444559618,False,False,True
FDC Ltd,0.0,1,446288.0,0.0,False,False,
Innova Captab Ltd,0.0,1,261881.0,0.0,False,False,
Mayur Uniquoters Ltd,0.0,1,275048.0,0.0,False,False,
Sterlite Technologies Ltd,-1.0,1,2328110.0,-1.3290702272418073,False,False,True
