,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
KEC International Ltd,2.0,1,858696.0,23.545737457970226,False,False,True
Stove Kraft Ltd Ordinary Shares,1.0,1,1109577.0,0.0,False,False,True
CESC Ltd,0.0,1,2718637.0,0.0,False,False,
Rashi Peripherals Ltd,2.0,1,4633009.0,0.12268408663999039,False,False,True
Acutaas Chemicals Ltd,1.0,1,52665.0,0.0,True,False,True
Amber Enterprises India Ltd Ordinary Shares,1.0,1,12598.0,0.0,False,False,True
Ethos Ltd,-1.0,1,285885.0,0.0,False,False,True
RHI Magnesita India Ltd,2.0,1,1011446.0,6.06395216538261,False,False,True
Steel Strips Wheels Ltd,1.0,1,1695943.0,49.0227522158653,False,False,True
UPL Ltd,-2.0,1,0.0,-100.0,False,True,True
Aptus Value Housing Finance India Ltd,2.0,1,2890041.0,32.3677646470411,False,False,True
Aditya Birla Real Estate Ltd,2.0,1,672816.0,76.02017591134319,False,False,True
Krsnaa Diagnostics Ltd,0.0,1,580225.0,0.0,False,False,
Artemis Medicare Services Ltd Ordinary Shares,0.0,1,609551.0,0.0,False,False,
Landmark Cars Ltd,0.0,1,238333.0,0.0,False,False,
Mahindra Lifespace Developers Ltd,0.0,1,1895938.0,2.9316947693136255,False,False,True
OneSource Specialty Pharma Ltd,1.0,1,274764.0,7.010328550731411,False,False,True
Time Technoplast Ltd,2.0,1,1231335.0,26.162924134313126,True,False,True
Wakefit Innovations Ltd,1.0,1,1179520.0,0.0,True,False,True
Bluspring Enterprises Ltd,0.0,1,888303.0,0.0,False,False,
Greenply Industries Ltd,0.0,1,1109031.0,0.0,False,False,
JK Paper Ltd,2.0,1,292911.0,30.009320905459386,False,False,True
Power Mech Projects Ltd,0.0,1,178209.0,0.0,False,False,
AWL Agri Business Ltd,2.0,1,2047649.0,11.207124558666111,False,False,True
Yatharth Hospital and Trauma Care Services Ltd,2.0,1,3812993.0,18.09374114411458,False,False,True
Quess Corp Ltd,2.0,1,1431732.0,9.649759675032856,False,False,True
Pace Digitek Ltd,2.0,1,5049021.0,12.953489932885907,False,False,True
Birla Corp Ltd,2.0,1,486798.0,57.406341548589864,False,False,True
General Insurance Corp of India,2.0,1,3530859.0,31.45739992121921,False,False,True
Apar Industries Ltd,0.0,1,254796.0,0.0,False,False,
Syrma SGS Technology Ltd,0.0,1,791858.0,27.583217864853545,False,False,True
DCB Bank Ltd,-1.0,1,11663358.0,0.0,False,False,True
Prestige Estates Projects Ltd,0.0,1,822793.0,0.0,False,False,
Godavari Biorefineries Ltd,0.0,1,351261.0,0.0,False,False,
Sobha Ltd,2.0,1,4660270.0,26.09092089741231,False,False,True
Ecos (India) Mobility & Hospitality Ltd,2.0,1,1797916.0,16.094196956097814,False,False,True
Aditya Birla Sun Life AMC Ltd,-1.0,1,395145.0,-0.7305559812386793,False,False,True
R R Kabel Ltd,0.0,1,146140.0,-14.427417890958491,False,False,True
Suryoday Small Finance Bank Ltd,2.0,1,1230637.0,1.5790251315097643,False,False,True
Styrenix Performance Materials Ltd,2.0,1,325843.0,7.392209983718616,True,False,True
Jyothy Labs Ltd,1.0,1,1022084.0,7.239655686172468,False,False,True
Vedanta Ltd,-2.0,1,1600000.0,-14.637119728375314,False,False,True
KFin Technologies Ltd,0.0,1,559475.0,0.0,False,False,
Computer Age Management Services Ltd Ordinary Shares,1.0,1,714745.0,400.0,False,False,True
Orchid Pharma Ltd,1.0,1,310553.0,5.558104833090302,False,False,True
Archean Chemical Industries Ltd,0.0,1,702033.0,0.0,False,False,
Sterlite Technologies Ltd,0.0,1,2328110.0,0.0,False,False,
PCBL Chemical Ltd,2.0,1,6136344.0,5.199397914645144,False,False,True
Mastek Ltd,1.0,1,522483.0,62.23257922486012,False,False,True
Kirloskar Pneumatic Co Ltd,2.0,1,271857.0,18.464468111066566,False,False,True
IndiaMART InterMESH Ltd,1.0,1,92846.0,12.070588803321826,False,False,True
VRL Logistics Ltd,-1.0,1,655308.0,0.0,False,False,True
Arvind SmartSpaces Ltd,2.0,1,1855127.0,9.848957661010967,False,False,True
Tilaknagar Industries Ltd,2.0,1,1465470.0,22.032196174830627,False,False,True
Flair Writing Industries Ltd,2.0,1,1081779.0,157.57256125145838,False,False,True
Zee Entertainment Enterprises Ltd,1.0,1,2443930.0,0.0,False,False,True
National Aluminium Co Ltd,-1.0,1,2100000.0,-8.296943231441048,False,False,True
Brigade Hotel Ventures Ltd,2.0,1,3086606.0,14.93573278182957,False,False,True
Sai Life Sciences Ltd,-1.0,1,395836.0,-7.695249465996325,False,False,True
