,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Medplus Health Services Ltd,0,1,424694.0,0.0,False,False,True,SBI Small Cap Fund,,,0,0,1,0
Vintage Coffee & Beverages Ltd,0,1,6026993.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Digitide Solutions Ltd,0,3,2787392.6666666665,0.0,False,False,,"Axis Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Finbud Financial Services Ltd,1,1,435000.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
REC Ltd,0,1,18136186.0,26.17841260891786,False,False,True,SBI Small Cap Fund,,,0,0,1,1
MOIL Ltd,0,1,277970.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
GMM Pfaudler Ltd,0,2,1224268.5,2.4258027789996635,False,False,True,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Samvardhana Motherson International Ltd,0,3,19602566.0,10.883588048302624,False,False,True,"Axis Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Arvind Fashions Ltd,0,2,1588480.5,4.798304858069478,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Amber Enterprises India Limited January 2026 Future,1,1,12000.0,33.33333333333333,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,1
Jyoti CNC Automation Ltd,0,4,1192004.5,0.0,False,False,,"Franklin Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
Spicejet Ltd,0,1,15028063.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Piramal Pharma Ltd,0,1,9776924.0,23.649719892064603,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Vidya Wires Ltd,1,1,7208987.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Power Finance Corp Ltd,0,1,4516755.0,0.6686346814122902,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Orient Electric Ltd Ordinary Shares,0,3,6194315.666666667,3.7223169710120376,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
GK Energy Ltd,0,1,244013.0,0.0,False,False,True,SBI Small Cap Fund,,,0,0,1,0
Punjab National Bank,0,0,0.0,0.0,False,False,,,,,0,0,0,0
Vedant Fashions Ltd,0,2,959186.5,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Bharat Forge Ltd,0,1,0.0,0.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,0
Blue Star Ltd,0,5,1001565.4,0.0,False,False,,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,Motilal Oswal Small Cap Fund,0,1,5,4
Mayur Uniquoters Ltd,0,1,275048.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Amara Raja Energy & Mobility Ltd,0,1,905999.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Sapphire Foods India Ltd,0,2,5278972.0,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Aegis Vopak Terminals Ltd,0,2,2414594.0,10.712578087417288,False,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Poly Medicure Ltd,0,2,1745385.0,94.56835036437295,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Rishabh Instruments Ltd,0,3,1114414.6666666667,0.0,False,False,,"Axis Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Butterfly Gandhimathi Appliances Ltd,0,1,51013.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Fedbank Financial Services Ltd,0,1,7078702.0,-2.2476529265832257,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Kolte-Patil Developers Ltd,0,1,2144741.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Sky Gold and Diamonds Ltd,0,2,2842631.5,65.82533457975693,False,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Kilburn Engineering Ltd,0,1,889647.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Exide Industries Ltd,0,1,572070.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Nephrocare Health Services Ltd,1,1,217408.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
TBO Tek Ltd,1,4,1168186.0,8.300359576932914,False,False,True,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Canara Robeco Small Cap Fund,,1,0,4,3
Ventive Hospitality Ltd,0,2,4301999.5,151.09309500889538,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Innova Captab Ltd,0,3,297294.0,-50.0,False,False,,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,SBI Small Cap Fund",,Canara Robeco Small Cap Fund,0,1,3,2
Godawari Power & Ispat Ltd,0,1,5479697.0,6.4081440131332,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Jupiter Wagons Ltd,0,1,2365773.0,0.6380879821233271,False,False,True,SBI Small Cap Fund,,,0,0,1,1
EFC (I) Ltd,0,1,2142863.0,10.010970997446945,False,False,True,SBI Small Cap Fund,,,0,0,1,1
The South Indian Bank Ltd,0,1,106218390.0,0.0,False,False,True,SBI Small Cap Fund,,,0,0,1,0
Trualt Bioenergy Ltd,0,2,704540.0,0.0,False,False,True,"Franklin Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Windlas Biotech Ltd,0,1,131172.0,15.367769285569793,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Marksans Pharma Ltd,0,1,3335509.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
LT Foods Ltd,0,1,10864095.0,15.466166657756661,False,False,True,SBI Small Cap Fund,,,0,0,1,1
TARC Ltd Ordinary Shares,0,1,13359603.0,5.424729083538323,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Sudeep Pharma Ltd,2,2,658306.5,253.2062055796841,True,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund","Nippon Small Cap Fund,SBI Small Cap Fund",,2,0,2,1
