,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Gulf Oil Lubricants India Ltd,0,1,189816.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Aurobindo Pharma Ltd,0,1,637314.0,0.0,False,False,True,SBI Small Cap Fund,,,0,0,1,0
Baazar Style Retail Ltd,0,1,2192462.0,1.6185084693600402,False,False,True,SBI Small Cap Fund,,,0,0,1,1
NCC Ltd,0,2,11028359.5,9.308354010464763,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
M & B Engineering Ltd,0,1,0.0,0.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,0
GPT Healthcare Ltd,0,1,3261625.0,0.6636789181638587,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Oswal Pumps Ltd,0,2,940635.0,13.826116612539979,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Sudarshan Chemical Industries Ltd,1,5,2745661.8,23.92989030432584,True,False,True,"HDFC Small Cap Fund,Mirae Small Cap Fund,Navi Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,5,5
S H Kelkar & Co Ltd,0,1,5415240.0,4.528720864513618,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Eureka Forbes Ltd,0,3,699333.6666666666,0.0,False,False,True,"Canara Robeco Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
IndusInd Bank Ltd,0,2,1505078.0,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
NTPC Green Energy Ltd,0,2,13327922.0,5.211810748443092,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Sanathan Textiles Ltd,0,2,2055008.0,1.7807095310037782,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Shilpa Medicare Ltd,0,1,2497968.0,9.27808172075374,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Kirloskar Ferrous Industries Ltd,0,4,3737892.0,0.0,False,False,True,"HDFC Small Cap Fund,Mirae Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
Aarti Industries Ltd,0,4,2757146.0,10.217326970655801,False,False,True,"Axis Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,4
Eris Lifesciences Ltd Registered Shs,0,3,2567343.6666666665,24.5938214442062,False,False,,"Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Chemplast Sanmar Ltd,0,2,3033481.5,0.0,False,False,,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
PVR INOX Ltd,1,3,2043626.0,0.0,True,False,True,"HDFC Small Cap Fund,Mirae Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,2
Concord Enviro Systems Ltd,0,1,403805.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Yatra Online Ltd,0,1,329949.0,-3.3810158274645308,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Info Edge (India) Ltd,0,1,2120000.0,11.578947368421053,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Inox Wind Ltd,0,2,13117296.0,2.001302597491449,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Karnataka Bank Ltd,0,2,12904709.5,0.38073205847513586,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Nitin Spinners Ltd,0,3,2090402.6666666667,0.5363734204356627,False,False,True,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,Motilal Oswal Small Cap Fund,0,1,3,3
Cyient Ltd,0,2,2362625.5,34.052160595397815,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Great Eastern Shipping Co Ltd,0,2,3458977.0,6.57992096641877,False,False,True,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Emami Ltd,0,3,6557499.333333333,11.353591722371101,False,False,True,"HDFC Small Cap Fund,Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Cohance Lifesciences Ltd,0,3,1395476.0,18.69925561999788,False,False,True,"Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,Motilal Oswal Small Cap Fund,0,1,3,3
Amanta Healthcare Ltd,0,1,1570467.0,25.327650310552563,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Thirumalai Chemicals Ltd,0,2,1834433.0,247.1454267775327,False,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Aditya Birla Fashion and Retail Ltd,0,3,11817793.0,0.0,False,False,,"Axis Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Crompton Greaves Consumer Electricals Ltd,0,3,8792562.333333334,0.0,False,False,,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
JSW Cement Ltd,0,2,9603130.5,48.58170871513921,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Jubilant Pharmova Ltd,0,2,2457526.0,4.293984272441788,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Motilal Oswal Financial Services Ltd,0,2,1695929.0,-26.848328819189245,False,False,True,"Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Glenmark Pharmaceuticals Ltd,0,2,476438.5,0.0,False,False,,"Kotak Small Cap Fund,SBI Small Cap Fund",,Kotak Small Cap Fund,0,1,2,1
GNA Axles Ltd,0,2,1697837.5,0.0,False,False,,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Garware Hi-Tech Films Ltd,0,1,60125.0,11.085450346420323,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Kajaria Ceramics Ltd,1,3,1680093.0,9.738380930656405,True,False,True,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,2
Godrej Industries Ltd,0,2,2944233.5,31.904543431771224,False,False,True,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Pondy Oxides And Chemicals Ltd,0,1,225958.0,12.2410153242431,False,False,True,SBI Small Cap Fund,,,0,0,1,1
All Time Plastics Ltd,0,1,599734.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Mankind Pharma Ltd,1,1,33093.0,120.61999999999999,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,1
Arvind Ltd,0,2,11597291.0,3.436104092068548,False,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Angel One Ltd Ordinary Shares,0,2,506711.5,18.83980489758033,False,False,True,"Franklin Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Repco Home Finance Ltd,0,1,4120781.0,4.120547731991949,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Greenpanel Industries Ltd Ordinary Shares,0,1,1232444.0,47.850580752278745,False,False,True,SBI Small Cap Fund,,,0,0,1,1
PNB Housing Finance Ltd,0,4,3033910.75,18.756149121094605,False,False,True,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,4
Jain Resource Recycling Ltd,0,3,1378870.0,0.0,False,False,True,"Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Axis Bank Ltd,0,2,3740132.0,-0.744655737704918,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Bansal Wire Industries Ltd,0,1,534003.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Bank of Baroda,0,2,24539396.0,-9.67741935483871,False,False,True,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Manappuram Finance Ltd,0,1,3836895.0,-9.8663462453267,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Gujarat State Petronet Ltd,0,1,277028.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Aster DM Healthcare Ltd Ordinary Shares,0,6,8214855.166666667,0.0,False,False,,"Axis Small Cap Fund,Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,6,5
Vishnu Chemicals Ltd,0,1,956968.0,-0.4987704896726331,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Shaily Engineering Plastics Ltd,0,2,691177.5,9.553511195789401,False,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Deepak Fertilisers & Petrochemicals Corp Ltd,0,3,791528.3333333334,4.536767232116971,False,False,True,"Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Star Health and Allied Insurance Co Ltd,0,1,1092180.0,7.373326254940128,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Birlasoft Ltd,0,5,1940202.0,5.060920026383844,False,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,Franklin Small Cap Fund,0,1,5,4
Paradeep Phosphates Ltd,0,2,22364445.5,2.786990187339547,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Pine Labs Ltd,3,3,1959986.3333333333,-16.648574233782522,True,False,True,"Canara Robeco Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund","Canara Robeco Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,3,0,3,3
Bombay Burmah Trading Corp Ltd,0,1,196754.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Narayana Hrudayalaya Ltd,0,3,921294.0,0.0,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
INOX Green Energy Services Ltd,1,1,2392880.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Senco Gold Ltd,0,1,4500973.0,32.036400139869656,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Heritage Foods Ltd,0,1,467302.0,0.0,False,False,True,SBI Small Cap Fund,,,0,0,1,0
State Bank of India,0,2,6219236.0,0.0,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Epigral Ltd,0,1,690108.0,50.33460553144769,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Rane Holdings Ltd,0,1,152185.0,4.2305901046517995,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Multi Commodity Exchange of India Ltd,0,7,501558.85714285716,-15.244116646451497,False,True,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,SBI Small Cap Fund,0,1,7,7
Kirloskar Oil Engines Ltd,1,5,1569237.0,-1.724208711359251,False,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Motilal Oswal Small Cap Fund,,1,0,5,5
Wockhardt Ltd,0,4,1130405.25,2.035027153944794,False,False,True,"Franklin Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,4,4
Edelweiss Financial Services Ltd,0,1,2331046.0,6.532687660184343,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Hi-Tech Pipes Ltd,1,3,5020651.666666667,8.463681357465552,False,False,True,"Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Nippon Small Cap Fund,,1,0,3,3
Indus Towers Ltd Ordinary Shares,0,1,690000.0,-23.333333333333332,False,False,True,SBI Small Cap Fund,,,0,0,1,1
National Building Construction Corp Ltd. 27/01/2026,1,1,8229000.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Sanofi India Ltd,0,2,138951.5,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Adani Power Ltd,0,1,60430545.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Suven Life Sciences Ltd,0,1,4701490.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
HDFC Life Insurance Co Ltd,1,2,4246324.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",Axis Small Cap Fund,,1,0,2,2
Alivus Life Sciences Ltd,0,2,1276230.5,0.0,False,False,0,"Axis Small Cap Fund,Navi Small Cap Fund",,,0,0,2,2
K.P.R. Mill Ltd,0,3,2379094.3333333335,-2.5907574727160854,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,3,3
Indoco Remedies Ltd,0,2,3396894.5,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Mahindra Holidays & Resorts India Ltd,0,1,999412.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Indian Hume Pipe Co Ltd,0,1,769177.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
JM Financial Ltd,0,3,9842269.0,0.8500149527120482,False,False,0,"Axis Small Cap Fund,Kotak Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
Om Infra Ltd,0,1,140571.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Aegis Logistics Ltd,0,2,7500194.5,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Himadri Speciality Chemical Ltd,0,1,1143581.0,69.55052648121955,False,False,0,Axis Small Cap Fund,,,0,0,1,1
TVS Srichakra Ltd,0,1,377551.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
RBL Bank Ltd,1,3,17259821.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund",Motilal Oswal Small Cap Fund,,1,0,3,3
BASF India Ltd,0,2,503124.0,0.0,False,False,0,"Axis Small Cap Fund,Navi Small Cap Fund",,,0,0,2,2
Viyash Scientific Ltd,1,1,22502050.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Sula Vineyards Ltd,0,2,5099674.0,0.0,False,False,0,"Axis Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Adani Enterprises Ltd,0,1,2468292.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Primo Chemicals Ltd Shs Dematerialised,0,1,4556962.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Reliance Industries Ltd,1,3,8380080.0,-1.6840196165010957,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund",Nippon Small Cap Fund,,1,0,3,3
Ravindra Energy Ltd,1,1,700000.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Vinati Organics Ltd,0,2,492351.5,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Maharashtra Seamless Ltd,0,2,650248.5,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,Motilal Oswal Small Cap Fund,0,1,2,2
Just Dial Ltd,0,2,2697436.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Vishnu Prakash R Punglia Ltd,0,1,5087689.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Black Box Ltd,1,1,1810683.0,1.5018854851557635,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Best Agrolife Ltd,0,1,500000.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Sun TV Network Ltd,0,1,14661224.0,28.08538126157237,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Thyrocare Technologies Ltd,0,1,5167803.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Gujarat State Fertilizers & Chemicals Ltd,0,1,7662294.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Adani Enterprises Ltd Ordinary Shares (Partly Paid Rs.0.50),1,1,296195.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Ncc Ltd 25/11/2025,0,1,0.0,0.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
SMS Pharmaceuticals Ltd,0,1,1859681.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Oil & Natural Gas Corp Ltd,0,1,499707.0,-97.28231421544034,False,False,0,Axis Small Cap Fund,,,0,0,1,1
NBCC India Ltd,0,1,49004963.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Minda Corp Ltd,0,2,6536434.5,0.0,False,False,0,"Axis Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Stanley Lifestyles Ltd,0,2,1599723.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Vardhman Textiles Ltd,0,3,6241257.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,3,3
Sumitomo Chemical India Ltd Ordinary Shares,1,4,2182609.75,-3.962728622336209,False,False,0,"Axis Small Cap Fund,Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund",Axis Small Cap Fund,,1,0,4,4
Indraprastha Medical Corp Ltd,0,1,0.0,0.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
Anupam Rasayan India Ltd,0,1,0.0,0.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
Castrol India Ltd,0,2,6025018.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
HFCL Ltd,0,1,89972615.0,12.379886635884274,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Capri Global Capital Ltd,0,1,28625736.0,0.6150983229396948,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Embassy Developments Ltd,0,1,7962774.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
S.P. Apparels Ltd,1,1,805180.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
E I D Parry India Ltd,0,2,2472434.0,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Oriental Hotels Ltd,0,1,2041368.0,-22.311850463761456,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Bata India Ltd,0,2,718283.0,-22.526118225247064,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Sai Silks (Kalamandir) Ltd,0,1,2095455.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Marathon Nextgen Realty Ltd,0,1,6479838.0,1.5674379192700503,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Graphite India Ltd,1,2,2106009.5,0.0,False,False,0,"Axis Small Cap Fund,Navi Small Cap Fund",Axis Small Cap Fund,,1,0,2,2
Newgen Software Technologies Ltd,0,1,503579.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Prime Securities Ltd,0,1,1649942.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Adani Green Energy Ltd,1,1,5436317.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Life Insurance Corporation of India,0,1,0.0,-100.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
Aditya Birla Lifestyle Brands Ltd,0,2,31160092.5,4.928155177358423,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
EPL Ltd Ordinary Shares,0,2,3949616.5,0.0,False,False,0,"Axis Small Cap Fund,Nippon Small Cap Fund",,Nippon Small Cap Fund,0,1,2,2
Welspun Corp Ltd,0,2,3013529.5,0.0,False,False,0,"Axis Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Bikaji Foods International Ltd,0,3,4153514.3333333335,0.0,False,False,0,"Axis Small Cap Fund,Canara Robeco Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,3,3
Pfizer Ltd,0,2,1060315.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Gland Pharma Ltd,0,3,1204895.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
Welspun Living Ltd,0,2,14122053.5,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Jana Small Finance Bank Ltd,0,0,0.0,0.0,False,False,0,,,,0,0,0,0
Adani Enterprises Limited Rights,1,1,0.0,-100.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,Axis Small Cap Fund,1,1,1,1
Zydus Wellness Ltd,0,2,13040937.5,0.5935412033335647,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
IRB Infrastructure Developers Ltd,1,1,33637792.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Delhivery Ltd,0,5,3617184.4,13.372291275248557,False,False,0,"Axis Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund",,Axis Small Cap Fund,0,1,5,5
Afcons Infrastructure Ltd,0,3,4863879.666666667,5.743187385756367,False,False,0,"Axis Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund",,,0,0,3,3
Anthem Biosciences Ltd,0,3,1268975.3333333333,0.0,False,False,0,"Axis Small Cap Fund,Canara Robeco Small Cap Fund,Nippon Small Cap Fund",,Nippon Small Cap Fund,0,1,3,3
Exicom Tele-Systems Ltd,0,1,4343422.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Bayer CropScience Ltd,0,2,798554.5,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Man Infraconstruction Ltd,0,1,6030000.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Future on Samvardhana Motherson International Ltd,1,1,0.0,-100.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,Axis Small Cap Fund,1,1,1,1
The Orissa Minerals Development Co Ltd,0,1,107059.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Sequent Scientific Ltd,0,1,0.0,-100.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
Capacit'e Infraprojects Ltd,0,1,2026624.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Piramal Finance Ltd,1,3,1908759.3333333333,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund",Motilal Oswal Small Cap Fund,,1,0,3,3
Welspun Enterprises Ltd,0,1,6712318.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Jio Financial Services Ltd,0,1,60489693.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
India Shelter Finance Corporation Ltd,0,2,1603351.5,0.0,False,False,0,"Axis Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Balrampur Chini Mills Ltd,0,5,3520762.4,-20.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,Nippon Small Cap Fund",,Motilal Oswal Small Cap Fund,0,1,5,5
Anand Rathi Wealth Ltd,0,2,1487047.5,0.0,False,False,0,"Axis Small Cap Fund,Franklin Small Cap Fund",,,0,0,2,2
Intellect Design Arena Ltd,0,1,503950.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Tata Consumer Products Ltd,0,2,2355776.0,-0.6833054271396889,False,False,0,"HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Harsha Engineers International Ltd,0,1,4136864.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Rategain Travel Technologies Ltd,0,2,3702516.5,0.0,False,False,0,"HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
ACME Solar Holdings Ltd,0,2,6493398.5,7.561338512909157,False,False,0,"HDFC Small Cap Fund,Navi Small Cap Fund",,,0,0,2,2
Dr. Lal PathLabs Ltd,0,1,1290970.0,100.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
AAVAS Financiers Ltd,0,1,1113911.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Hindustan Aeronautics Ltd Ordinary Shares,0,1,862972.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
TTK Prestige Ltd,0,1,3450705.0,0.579921528712324,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Praj Industries Ltd,0,1,5051724.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Linde India Ltd,0,1,400000.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
NTPC Ltd,1,1,8557812.0,0.0,False,False,0,HDFC Small Cap Fund,HDFC Small Cap Fund,,1,0,1,1
L.G.Balakrishnan & Bros Ltd,0,2,1853709.5,0.0,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Tube Investments of India Ltd Ordinary Shares,0,2,1421635.5,0.0,False,False,0,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Astec Lifesciences Ltd,0,1,526867.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Honda India Power Products Ltd,0,2,707868.0,0.0,False,False,0,"HDFC Small Cap Fund,Navi Small Cap Fund",,,0,0,2,2
Ambuja Cements Ltd,0,1,3250000.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
National Securities Depository Ltd,0,1,401313.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Navin Fluorine International Ltd,0,3,386790.3333333333,0.0,False,False,0,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
Syngene International Ltd,0,1,4906326.0,6.822513536992404,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Fujiyama Power Systems Ltd,1,1,4995237.0,0.0,False,False,0,HDFC Small Cap Fund,HDFC Small Cap Fund,,1,0,1,1
Data Patterns (India) Ltd,0,3,434344.6666666667,0.0,False,False,0,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
Fine Organic Industries Ltd Ordinary Shares,0,2,709286.5,0.0,False,False,0,"HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Orkla India Ltd,0,1,7685301.0,8.30441805530933,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
ISGEC Heavy Engineering Ltd,0,1,4290224.0,0.10810644319534926,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
DOMS Industries Ltd,0,3,565980.0,0.0,False,False,0,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
Go Fashion (India) Ltd,0,1,2153531.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Ion Exchange (India) Ltd,0,2,5483548.0,0.0,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Esab India Ltd,0,1,411697.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
