,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Shoppers Stop Ltd,2.0,1,8125094.0,30.636921988552317,False,False,True
Chalet Hotels Ltd,2.0,1,5982215.0,0.3735938008865512,False,False,True
Akzo Nobel India Ltd,2.0,1,1296922.0,53.06978253813697,False,False,True
Bajel Projects Ltd,0.0,0,0.0,0.0,False,False,
L.G.Balakrishnan & Bros Ltd,-1.0,1,2816501.0,0.0,False,False,True
Fortis Healthcare Ltd,-1.0,1,9440132.0,0.0,False,False,True
Redington Ltd,0.0,1,13566331.0,0.0,False,False,
JK Tyre & Industries Ltd,2.0,1,7070266.0,20.698378588401066,False,False,True
TCI Express Ltd,0.0,1,1140052.0,0.0,False,False,
Tata Steel Ltd,0.0,1,15443425.0,0.0,False,False,
Gabriel India Ltd,-2.0,1,9223375.0,-0.8065925497734818,False,False,True
Home First Finance Co India Ltd ---,1.0,1,4880891.0,0.0,False,False,True
Sharda Cropchem Ltd,0.0,1,5406610.0,0.0,False,False,
Redtape Ltd,0.0,1,22396179.0,0.0,False,False,
GMM Pfaudler Ltd,1.0,1,2124361.0,0.0,False,False,True
Aadhar Housing Finance Ltd,1.0,1,5012707.0,0.0,False,False,True
Ion Exchange (India) Ltd,0.0,1,3805736.0,0.0,False,False,
Sula Vineyards Ltd,0.0,1,6005600.0,0.0,False,False,
Aditya Vision Ltd,-1.0,1,8794037.0,-2.223695544058802,False,False,True
SKF India (Industrial) Limited **,0.0,1,0.0,-100.0,True,True,True
Tega Industries Ltd,2.0,1,1057788.0,388.6014790316546,True,False,True
Timken India Ltd,2.0,1,1731381.0,0.9057959400619755,False,False,True
Indigo Paints Ltd Ordinary Shares,2.0,1,2364116.0,0.43118719641660075,False,False,True
Unichem Laboratories Ltd,0.0,1,5458645.0,0.0,False,False,
SKF India Ltd,0.0,1,1108471.0,0.0,False,False,
Jagran Prakashan Ltd,0.0,1,2348332.0,0.0,False,False,
Suprajit Engineering Ltd,0.0,1,11840566.0,0.0,False,False,
Greenlam Industries Ltd,-2.0,1,2620888.0,-22.93219507662414,False,False,True
Dodla Dairy Ltd,2.0,1,3753410.0,30.06259163247973,False,False,True
Godrej Consumer Products Ltd,2.0,1,4998413.0,6.536172414910251,False,False,True
KEC International Ltd,0.0,1,4959256.0,0.0,False,False,
Firstsource Solutions Ltd,1.0,1,55264362.0,0.0,False,False,True
Pearl Global Industries Ltd,2.0,1,2738964.0,1.5520727239560372,False,False,True
UTI Asset Management Co Ltd,2.0,1,2804166.0,10.197195718125657,False,False,True
The Federal Bank Ltd,0.0,1,20759451.0,0.0,False,False,
Vardhman Textiles Ltd,0.0,1,9392211.0,0.0,False,False,
BEML Ltd,1.0,1,406478.0,0.0,False,False,True
Wakefit Innovations Ltd,1.0,1,80753.0,0.0,True,False,True
Sonata Software Ltd,2.0,1,19409949.0,0.19993579134075143,False,False,True
Power Mech Projects Ltd,0.0,1,2367936.0,0.0,False,False,
Apar Industries Ltd,0.0,1,505371.0,0.0,False,False,
T.V. Today Network Ltd,-2.0,1,1807956.0,-20.842868832828593,False,False,True
FIEM Industries Ltd,2.0,1,1730998.0,1.2494465199337637,False,False,True
La Opala RG Ltd,0.0,1,9444822.0,0.0,False,False,
Goodyear India Ltd,1.0,1,1256330.0,0.0,False,False,True
KEI Industries Ltd,0.0,1,1007856.0,0.0,False,False,
Bajaj Consumer Care Ltd,-2.0,1,5850000.0,-6.4,False,False,True
City Union Bank Ltd,0.0,1,20005638.0,0.0,False,False,
VRL Logistics Ltd,1.0,1,14417372.0,0.0,False,False,True
Vesuvius India Ltd,0.0,1,3935770.0,0.0,False,False,
TCPL Packaging Ltd,1.0,1,53257.0,0.0,False,False,True
SKF India (Industrial) Ltd,1.0,1,1108471.0,0.0,True,False,True
Lumax Industries Ltd,1.0,1,435082.0,0.0,False,False,True
Krishna Institute of Medical Sciences Ltd,0.0,1,11127166.0,0.0,False,False,
Equitas Small Finance Bank Ltd Ordinary Shares,1.0,1,67023564.0,0.0,False,False,True
Kalpataru Projects International Ltd,0.0,1,4636042.0,0.0,False,False,
Chambal Fertilisers & Chemicals Ltd,0.0,1,8577755.0,0.0,False,False,
G R Infraprojects Ltd,0.0,1,1497051.0,0.0,False,False,
eClerx Services Ltd,-2.0,1,3141244.0,-4.557547237457934,False,False,True
